Time,"Apparent_viscosity","Gas_Density","Gas_Mobility","Gas_Pressure","Gas_Saturation","Gas_Saturation_mean","Gas_Viscosity","Permeability","Porosity","Pressure","Total_Mobility","Velocity:0","Velocity:1","Velocity:2","Water_Mobility","Water_Pressure","Water_Saturation","Water_Saturation_mean","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
100,8.0641e-14,1,1.1159e+13,0.72377,0.57278,0.57506,2.94e-14,-13,0.25,0.72377,1.2401e+13,1,-2.4172e-13,0,1.2416e+12,0.72377,0.42722,0.42494,1,0.37,0.37,0,0
100,8.1624e-14,1,1.0983e+13,0.7157,0.56825,0.57049,2.94e-14,-13,0.25,0.7157,1.2251e+13,1,7.2241e-13,0,1.2681e+12,0.7157,0.43175,0.42951,1,0.38,0.38,0,0
100,8.26e-14,1,1.0812e+13,0.70754,0.56381,0.56601,2.94e-14,-13,0.25,0.70754,1.2107e+13,1,-1.2109e-14,0,1.2943e+12,0.70754,0.43619,0.43399,1,0.39,0.39,0,0
100,8.3569e-14,1,1.0646e+13,0.69928,0.55945,0.56161,2.94e-14,-13,0.25,0.69928,1.1966e+13,1,-1.2109e-14,0,1.3203e+12,0.69928,0.44055,0.43839,1,0.4,0.4,0,0
100,8.4532e-14,1,1.0484e+13,0.69092,0.55518,0.5573,2.94e-14,-13,0.25,0.69092,1.183e+13,1,-6.9755e-13,0,1.346e+12,0.69092,0.44482,0.4427,1,0.41,0.41,0,0
100,8.549e-14,1,1.0326e+13,0.68247,0.55098,0.55306,2.94e-14,-13,0.25,0.68247,1.1697e+13,1,-2.2789e-13,0,1.3716e+12,0.68247,0.44902,0.44694,1,0.42,0.42,0,0
100,8.6442e-14,1,1.0172e+13,0.67392,0.54685,0.5489,2.94e-14,-13,0.25,0.67392,1.1568e+13,1,9.0146e-13,0,1.3969e+12,0.67392,0.45315,0.4511,1,0.43,0.43,0,0
100,8.7388e-14,1,1.0021e+13,0.66528,0.54279,0.5448,2.94e-14,-13,0.25,0.66528,1.1443e+13,1,2.2896e-13,0,1.422e+12,0.66528,0.45721,0.4552,1,0.44,0.44,0,0
100,8.833e-14,1,9.8741e+12,0.65654,0.53879,0.54078,2.94e-14,-13,0.25,0.65654,1.1321e+13,1,2.3262e-13,0,1.447e+12,0.65654,0.46121,0.45922,1,0.45,0.45,0,0
100,8.9267e-14,1,9.7305e+12,0.64771,0.53486,0.53681,2.94e-14,-13,0.25,0.64771,1.1202e+13,1,1.103e-12,0,1.4718e+12,0.64771,0.46514,0.46319,1,0.46,0.46,0,0
