Time,"Apparent_viscosity","Gas_Density","Gas_Mobility","Gas_Pressure","Gas_Saturation","Gas_Saturation_mean","Gas_Viscosity","Permeability","Porosity","Pressure","Total_Mobility","Velocity:0","Velocity:1","Velocity:2","Water_Mobility","Water_Pressure","Water_Saturation","Water_Saturation_mean","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
100,4.1685e-14,1,2.3808e+13,5.7016,0.83663,0.83879,2.94e-14,-13,0.25,5.7016,2.399e+13,1,-7.4731e-12,0,1.8156e+11,5.7016,0.16337,0.16121,1,0.37,0.37,0,0
100,4.21e-14,1,2.3562e+13,5.5995,0.8323,0.83446,2.94e-14,-13,0.25,5.5995,2.3753e+13,1,7.4058e-12,0,1.9132e+11,5.5995,0.1677,0.16554,1,0.38,0.38,0,0
100,4.2521e-14,1,2.3316e+13,5.4975,0.82795,0.83012,2.94e-14,-13,0.25,5.4975,2.3518e+13,1,-1.4665e-11,0,2.0137e+11,5.4975,0.17205,0.16988,1,0.39,0.39,0,0
100,4.295e-14,1,2.3071e+13,5.3954,0.82359,0.82576,2.94e-14,-13,0.25,5.3954,2.3283e+13,1,-3.6389e-12,0,2.1172e+11,5.3954,0.17641,0.17424,1,0.4,0.4,0,0
100,4.3387e-14,1,2.2826e+13,5.2932,0.8192,0.82139,2.94e-14,-13,0.25,5.2932,2.3048e+13,1,3.5844e-12,0,2.2237e+11,5.2932,0.1808,0.17861,1,0.41,0.41,0,0
100,4.3832e-14,1,2.2581e+13,5.1911,0.81479,0.81699,2.94e-14,-13,0.25,5.1911,2.2814e+13,1,-3.5541e-12,0,2.3336e+11,5.1911,0.18521,0.18301,1,0.42,0.42,0,0
100,4.4288e-14,1,2.2335e+13,5.0889,0.81034,0.81255,2.94e-14,-13,0.25,5.0889,2.258e+13,1,0,0,2.4471e+11,5.0889,0.18966,0.18745,1,0.43,0.43,0,0
100,4.4754e-14,1,2.2088e+13,4.9867,0.80585,0.80808,2.94e-14,-13,0.25,4.9867,2.2344e+13,1,3.4874e-12,0,2.5643e+11,4.9867,0.19415,0.19192,1,0.44,0.44,0,0
100,4.5232e-14,1,2.1839e+13,4.8844,0.8013,0.80356,2.94e-14,-13,0.25,4.8844,2.2108e+13,1,6.9017e-12,0,2.6859e+11,4.8844,0.1987,0.19644,1,0.45,0.45,0,0
100,4.5726e-14,1,2.1588e+13,4.7822,0.79668,0.79897,2.94e-14,-13,0.25,4.7822,2.1869e+13,1,1.3644e-11,0,2.8123e+11,4.7822,0.20332,0.20103,1,0.46,0.46,0,0
100,4.6238e-14,1,2.1333e+13,4.6799,0.79195,0.79429,2.94e-14,-13,0.25,4.6799,2.1627e+13,1,-3.3767e-12,0,2.9444e+11,4.6799,0.20805,0.20571,1,0.47,0.47,0,0
