"Fa","Fb","K","Sa","Sb","Sc","U:0","U:1","U:2","Ua:0","Ua:1","Ua:2","Ub:0","Ub:1","Ub:2","Uc:0","Uc:1","Uc:2","eps","kra","krb","krc","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.14783,0.83597,1e-12,0.042298,0.6778,0.2799,1.4111e-05,0,0,2.086e-06,0,0,1.1796e-05,0,0,2.287e-07,0,0,0.25,0.00092245,0.52165,0.050568,79704,1,0.17983,0.17983,0.005,0.005
0.14783,0.83597,1e-12,0.042299,0.6778,0.2799,1.4111e-05,0,0,2.086e-06,0,0,1.1796e-05,0,0,2.287e-07,0,0,0.25,0.00092245,0.52165,0.050568,79620,1,0.1835,0.1835,0.005,0.005
0.14783,0.83597,1e-12,0.042299,0.6778,0.2799,1.4111e-05,0,0,2.086e-06,0,0,1.1796e-05,0,0,2.287e-07,0,0,0.25,0.00092245,0.52165,0.050568,79538,1,0.18717,0.18717,0.005,0.005
0.14783,0.83596,1e-12,0.0423,0.6778,0.2799,1.4111e-05,0,0,2.086e-06,0,0,1.1796e-05,0,0,2.287e-07,0,0,0.25,0.00092247,0.52165,0.050568,79454,1,0.19084,0.19084,0.005,0.005
0.14785,0.83595,1e-12,0.042302,0.6778,0.2799,1.4111e-05,0,0,2.0863e-06,0,0,1.1796e-05,0,0,2.287e-07,0,0,0.25,0.00092258,0.52164,0.050568,79372,1,0.19451,0.19451,0.005,0.005
0.14788,0.83592,1e-12,0.042308,0.67779,0.2799,1.4111e-05,0,0,2.0867e-06,0,0,1.1796e-05,0,0,2.2869e-07,0,0,0.25,0.0009228,0.52163,0.050568,79288,1,0.19818,0.19818,0.005,0.005
0.14791,0.83588,1e-12,0.042313,0.67779,0.2799,1.4111e-05,0,0,2.0871e-06,0,0,1.1795e-05,0,0,2.2869e-07,0,0,0.25,0.00092301,0.52163,0.050567,79206,1,0.20185,0.20185,0.005,0.005
0.14793,0.83586,1e-12,0.042317,0.67779,0.2799,1.4111e-05,0,0,2.0874e-06,0,0,1.1795e-05,0,0,2.2869e-07,0,0,0.25,0.00092316,0.52162,0.050567,79122,1,0.20552,0.20552,0.005,0.005
0.14794,0.83585,1e-12,0.042319,0.67778,0.2799,1.4111e-05,0,0,2.0876e-06,0,0,1.1795e-05,0,0,2.2868e-07,0,0,0.25,0.00092324,0.52162,0.050567,79040,1,0.20919,0.20919,0.005,0.005
0.14795,0.83584,1e-12,0.042321,0.67778,0.2799,1.4111e-05,0,0,2.0878e-06,0,0,1.1795e-05,0,0,2.2868e-07,0,0,0.25,0.00092331,0.52161,0.050567,78957,1,0.21286,0.21286,0.005,0.005
0.14797,0.83583,1e-12,0.042324,0.67778,0.2799,1.4111e-05,0,0,2.088e-06,0,0,1.1794e-05,0,0,2.2868e-07,0,0,0.25,0.00092341,0.52161,0.050567,78874,1,0.21653,0.21653,0.005,0.005
0.14799,0.8358,1e-12,0.042328,0.67778,0.2799,1.4111e-05,0,0,2.0884e-06,0,0,1.1794e-05,0,0,2.2867e-07,0,0,0.25,0.00092359,0.5216,0.050567,78791,1,0.2202,0.2202,0.005,0.005
0.14803,0.83576,1e-12,0.042334,0.67777,0.2799,1.4111e-05,0,0,2.0889e-06,0,0,1.1793e-05,0,0,2.2867e-07,0,0,0.25,0.00092385,0.52159,0.050567,78708,1,0.22387,0.22387,0.005,0.005
0.14808,0.83572,1e-12,0.042342,0.67776,0.2799,1.4111e-05,0,0,2.0895e-06,0,0,1.1793e-05,0,0,2.2866e-07,0,0,0.25,0.00092415,0.52158,0.050567,78625,1,0.22754,0.22754,0.005,0.005
0.14812,0.83568,1e-12,0.042349,0.67775,0.2799,1.4111e-05,0,0,2.0901e-06,0,0,1.1792e-05,0,0,2.2866e-07,0,0,0.25,0.00092445,0.52156,0.050567,78542,1,0.23121,0.23121,0.005,0.005
0.14815,0.83564,1e-12,0.042355,0.67775,0.2799,1.4111e-05,0,0,2.0906e-06,0,0,1.1792e-05,0,0,2.2865e-07,0,0,0.25,0.00092468,0.52155,0.050566,78459,1,0.23488,0.23488,0.005,0.005
0.14818,0.83562,1e-12,0.042359,0.67775,0.2799,1.4111e-05,0,0,2.0909e-06,0,0,1.1791e-05,0,0,2.2865e-07,0,0,0.25,0.00092483,0.52155,0.050566,78376,1,0.23855,0.23855,0.005,0.005
0.14818,0.83561,1e-12,0.042361,0.67774,0.2799,1.4111e-05,0,0,2.091e-06,0,0,1.1791e-05,0,0,2.2865e-07,0,0,0.25,0.00092489,0.52154,0.050566,78293,1,0.24222,0.24222,0.005,0.005
0.14819,0.83561,1e-12,0.042362,0.67774,0.2799,1.4111e-05,0,0,2.0911e-06,0,0,1.1791e-05,0,0,2.2864e-07,0,0,0.25,0.00092492,0.52154,0.050566,78210,1,0.24589,0.24589,0.005,0.005
0.1482,0.83559,1e-12,0.042365,0.67774,0.2799,1.4111e-05,0,0,2.0914e-06,0,0,1.1791e-05,0,0,2.2864e-07,0,0,0.25,0.00092501,0.52154,0.050566,78127,1,0.24956,0.24956,0.005,0.005
0.1483,0.8355,1e-12,0.04238,0.67773,0.27989,1.4111e-05,0,0,2.093e-06,0,0,1.1789e-05,0,0,2.2862e-07,0,0,0.25,0.00092567,0.52151,0.050566,78044,1,0.25323,0.25323,0.005,0.005
0.14855,0.83525,1e-12,0.042421,0.67769,0.27989,1.4111e-05,0,0,2.0965e-06,0,0,1.1786e-05,0,0,2.2859e-07,0,0,0.25,0.00092741,0.52144,0.050565,77961,1,0.2569,0.2569,0.005,0.005
0.14892,0.83489,1e-12,0.04248,0.67763,0.27989,1.4111e-05,0,0,2.1015e-06,0,0,1.1781e-05,0,0,2.2853e-07,0,0,0.25,0.00092989,0.52133,0.050565,77878,1,0.26057,0.26057,0.005,0.005
0.1493,0.83451,1e-12,0.042541,0.67757,0.27989,1.4111e-05,0,0,2.1067e-06,0,0,1.1776e-05,0,0,2.2848e-07,0,0,0.25,0.00093253,0.52122,0.050565,77795,1,0.26424,0.26424,0.005,0.005
0.14967,0.83414,1e-12,0.0426,0.67751,0.27989,1.4111e-05,0,0,2.1118e-06,0,0,1.1771e-05,0,0,2.2842e-07,0,0,0.25,0.00093503,0.52112,0.050564,77712,1,0.26791,0.26791,0.005,0.005
0.14998,0.83384,1e-12,0.04265,0.67746,0.27989,1.4111e-05,0,0,2.1161e-06,0,0,1.1767e-05,0,0,2.2838e-07,0,0,0.25,0.00093716,0.52103,0.050564,77629,1,0.27158,0.27158,0.005,0.005
0.15021,0.83361,1e-12,0.042688,0.67742,0.27989,1.4111e-05,0,0,2.1193e-06,0,0,1.1763e-05,0,0,2.2834e-07,0,0,0.25,0.00093875,0.52096,0.050563,77546,1,0.27525,0.27525,0.005,0.005
0.15036,0.83346,1e-12,0.042711,0.6774,0.27989,1.4111e-05,0,0,2.1214e-06,0,0,1.1761e-05,0,0,2.2832e-07,0,0,0.25,0.00093974,0.52092,0.050563,77463,1,0.27892,0.27892,0.005,0.005
0.15042,0.8334,1e-12,0.042723,0.67739,0.27989,1.4111e-05,0,0,2.1225e-06,0,0,1.176e-05,0,0,2.2831e-07,0,0,0.25,0.00094021,0.5209,0.050563,77381,1,0.28259,0.28259,0.005,0.005
0.15044,0.83338,1e-12,0.042725,0.67738,0.27989,1.4111e-05,0,0,2.1228e-06,0,0,1.176e-05,0,0,2.283e-07,0,0,0.25,0.00094032,0.5209,0.050563,77298,1,0.28626,0.28626,0.005,0.005
0.15042,0.8334,1e-12,0.042722,0.67739,0.27989,1.4111e-05,0,0,2.1224e-06,0,0,1.176e-05,0,0,2.2831e-07,0,0,0.25,0.00094016,0.5209,0.050563,77215,1,0.28993,0.28993,0.005,0.005
0.15024,0.83358,1e-12,0.042693,0.67742,0.27989,1.4111e-05,0,0,2.1199e-06,0,0,1.1763e-05,0,0,2.2833e-07,0,0,0.25,0.00093893,0.52095,0.050563,77132,1,0.2936,0.2936,0.005,0.005
0.14988,0.83393,1e-12,0.042637,0.67747,0.27989,1.4111e-05,0,0,2.1151e-06,0,0,1.1767e-05,0,0,2.2839e-07,0,0,0.25,0.00093648,0.52106,0.050563,77049,1,0.29727,0.29727,0.005,0.005
0.1495,0.83431,1e-12,0.042576,0.67753,0.27989,1.4111e-05,0,0,2.1098e-06,0,0,1.1773e-05,0,0,2.2844e-07,0,0,0.25,0.00093387,0.52116,0.050564,76966,1,0.30094,0.30094,0.005,0.005
