Time,"Apparent_viscosity","Gas_Density","Gas_Mobility","Gas_Pressure","Gas_Saturation","Gas_Saturation_mean","Gas_Viscosity","Permeability","Porosity","Pressure","Total_Mobility","Velocity:0","Velocity:1","Velocity:2","Water_Mobility","Water_Pressure","Water_Saturation","Water_Saturation_mean","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
50,1.47e-13,1,0,4.8771,1.3912e-09,1.3988e-09,2.94e-14,-13,0.25,4.8771,6.8027e+12,1,-3.1631e-12,0,6.8027e+12,4.8771,1,1,1,0.42,0.42,0,0
50,1.47e-13,1,0,4.7938,-4.9454e-11,-4.9454e-11,2.94e-14,-13,0.25,4.7938,6.8027e+12,1,0,0,6.8027e+12,4.7938,1,1,1,0.43,0.43,0,0
50,1.47e-13,1,0,4.7104,1.3481e-09,1.3481e-09,2.94e-14,-13,0.25,4.7104,6.8027e+12,1,-2.1027e-12,0,6.8027e+12,4.7104,1,1,1,0.44,0.44,0,0
50,1.47e-13,1,0,4.627,1.3285e-09,1.335e-09,2.94e-14,-13,0.25,4.627,6.8027e+12,1,1.2109e-14,0,6.8027e+12,4.627,1,1,1,0.45,0.45,0,0
50,1.47e-13,1,0,4.5437,-6.4363e-11,-6.4363e-11,2.94e-14,-13,0.25,4.5437,6.8027e+12,1,2.1209e-12,0,6.8027e+12,4.5437,1,1,1,0.46,0.46,0,0
50,1.47e-13,1,0,4.4603,1.293e-09,1.293e-09,2.94e-14,-13,0.25,4.4603,6.8027e+12,1,-6.0544e-15,0,6.8027e+12,4.4603,1,1,1,0.47,0.47,0,0
50,1.47e-13,1,0,4.3769,1.2666e-09,1.2754e-09,2.94e-14,-13,0.25,4.3769,6.8027e+12,1,-3.1631e-12,0,6.8027e+12,4.3769,1,1,1,0.48,0.48,0,0
50,1.47e-13,1,0,4.2936,-4.906e-11,-4.906e-11,2.94e-14,-13,0.25,4.2936,6.8027e+12,1,0,0,6.8027e+12,4.2936,1,1,1,0.49,0.49,0,0
50,1.47e-13,1,0,4.2102,1.2208e-09,1.2208e-09,2.94e-14,-13,0.25,4.2102,6.8027e+12,1,-3.1571e-12,0,6.8027e+12,4.2102,1,1,1,0.5,0.5,0,0
50,1.47e-13,1,0,4.1268,1.2025e-09,1.2086e-09,2.94e-14,-13,0.25,4.1268,6.8027e+12,1,1.2109e-14,0,6.8027e+12,4.1268,1,1,1,0.51,0.51,0,0
