TimeStep,CellID,qw,qo
145775,1224,2.49656,1.50344
145800,1224,2.49716,1.50284
145825,1224,2.49776,1.50224
145850,1224,2.49836,1.50164
145875,1224,2.49896,1.50104
145900,1224,2.49956,1.50044
145925,1224,2.50016,1.49984
145950,1224,2.50076,1.49924
145975,1224,2.50135,1.49865
146000,1224,2.50195,1.49805
146025,1224,2.50255,1.49745
146050,1224,2.50315,1.49685
146075,1224,2.50374,1.49626
146100,1224,2.50434,1.49566
146125,1224,2.50493,1.49507
146150,1224,2.50553,1.49447
146175,1224,2.50612,1.49388
146200,1224,2.50672,1.49328
146225,1224,2.50731,1.49269
146250,1224,2.5079,1.4921
146275,1224,2.50849,1.49151
146300,1224,2.50909,1.49091
146325,1224,2.50968,1.49032
146350,1224,2.51027,1.48973
146375,1224,2.51086,1.48914
146400,1224,2.51145,1.48855
146425,1224,2.51204,1.48796
146450,1224,2.51263,1.48737
146475,1224,2.51322,1.48678
146500,1224,2.51381,1.48619
146525,1224,2.51439,1.48561
146550,1224,2.51498,1.48502
146575,1224,2.51557,1.48443
146600,1224,2.51616,1.48384
146625,1224,2.51674,1.48326
146650,1224,2.51733,1.48267
146675,1224,2.51791,1.48209
146700,1224,2.5185,1.4815
146725,1224,2.51908,1.48092
146750,1224,2.51967,1.48033
146775,1224,2.52025,1.47975
146800,1224,2.52083,1.47917
146825,1224,2.52142,1.47858
146850,1224,2.522,1.478
146875,1224,2.52258,1.47742
146900,1224,2.52316,1.47684
146925,1224,2.52374,1.47626
146950,1224,2.52432,1.47568
146975,1224,2.5249,1.4751
147000,1224,2.52548,1.47452
147025,1224,2.52606,1.47394
147050,1224,2.52664,1.47336
147075,1224,2.52722,1.47278
147100,1224,2.5278,1.4722
147125,1224,2.52838,1.47162
147150,1224,2.52895,1.47105
147175,1224,2.52953,1.47047
147200,1224,2.53011,1.46989
147225,1224,2.53068,1.46932
147250,1224,2.53126,1.46874
147275,1224,2.53183,1.46817
147300,1224,2.53241,1.46759
147325,1224,2.53298,1.46702
147350,1224,2.53355,1.46645
147375,1224,2.53413,1.46587
147400,1224,2.5347,1.4653
147425,1224,2.53527,1.46473
147450,1224,2.53585,1.46415
147475,1224,2.53642,1.46358
147500,1224,2.53699,1.46301
147525,1224,2.53756,1.46244
147550,1224,2.53813,1.46187
147575,1224,2.5387,1.4613
147600,1224,2.53927,1.46073
147625,1224,2.53984,1.46016
147650,1224,2.54041,1.45959
147675,1224,2.54098,1.45902
147700,1224,2.54154,1.45846
147725,1224,2.54211,1.45789
147750,1224,2.54268,1.45732
147775,1224,2.54324,1.45676
147800,1224,2.54381,1.45619
147825,1224,2.54438,1.45562
147850,1224,2.54494,1.45506
147875,1224,2.54551,1.45449
147900,1224,2.54607,1.45393
147925,1224,2.54664,1.45336
147950,1224,2.5472,1.4528
147975,1224,2.54776,1.45224
148000,1224,2.54833,1.45167
148025,1224,2.54889,1.45111
148050,1224,2.54945,1.45055
148075,1224,2.55001,1.44999
148100,1224,2.55057,1.44943
148125,1224,2.55113,1.44887
148150,1224,2.55169,1.44831
148175,1224,2.55225,1.44775
148200,1224,2.55281,1.44719
148225,1224,2.55337,1.44663
148250,1224,2.55393,1.44607
148275,1224,2.55449,1.44551
148300,1224,2.55505,1.44495
148325,1224,2.55561,1.44439
148350,1224,2.55616,1.44384
148375,1224,2.55672,1.44328
148400,1224,2.55728,1.44272
148425,1224,2.55783,1.44217
148450,1224,2.55839,1.44161
148475,1224,2.55894,1.44106
148500,1224,2.5595,1.4405
148525,1224,2.56005,1.43995
148550,1224,2.56061,1.43939
148575,1224,2.56116,1.43884
148600,1224,2.56171,1.43829
