Time,"Apparent_viscosity","Gas_Density","Gas_Mobility","Gas_Saturation","Gas_Saturation_mean","Gas_Viscosity","Gas_pressure","Oil_Pressure","Oil_Saturation","Oil_Saturation_mean","Permeability","Porosity","Total_Mobility","Velocity:0","Velocity:1","Velocity:2","Water_Mobility","Water_Pressure","Water_Saturation","Water_Saturation_mean","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.35,0.86429,1.165,0.23014,0.26276,0.26295,0.3,3.2748,3.2748,0.0577,0.057033,0,1,1.157,1,-3.074e-13,0,0.92355,3.2748,0.67954,0.68002,1,0.037,0.037,0.002,0
0.35,0.8666,1.165,0.22948,0.26238,0.26257,0.3,3.2741,3.2741,0.059027,0.058366,0,1,1.1539,1,2.1684e-16,0,0.92097,3.2741,0.67859,0.67906,1,0.038,0.038,0.002,0
0.35,0.8689,1.165,0.22883,0.26201,0.26219,0.3,3.2733,3.2733,0.060346,0.059689,0,1,1.1509,1,1.5316e-13,0,0.91841,3.2733,0.67765,0.67812,1,0.039,0.039,0.002,0
0.35,0.87119,1.165,0.22818,0.26164,0.26182,0.3,3.2726,3.2726,0.061655,0.061003,0,1,1.1479,1,3.0481e-13,0,0.91587,3.2726,0.67671,0.67718,1,0.04,0.04,0.002,0
0.35,0.87348,1.165,0.22753,0.26127,0.26145,0.3,3.2719,3.2719,0.062955,0.062307,0,1,1.1449,1,-1.523e-13,0,0.91336,3.2719,0.67578,0.67624,1,0.041,0.041,0.002,0
0.35,0.87575,1.165,0.22689,0.2609,0.26108,0.3,3.2711,3.2711,0.064245,0.063602,0,1,1.1419,1,6.0775e-13,0,0.91086,3.2711,0.67486,0.67532,1,0.042,0.042,0.002,0
0.35,0.87801,1.165,0.22626,0.26053,0.26071,0.3,3.2704,3.2704,0.065527,0.064889,0,1,1.1389,1,-3.0271e-13,0,0.90839,3.2704,0.67394,0.6744,1,0.043,0.043,0.002,0
0.35,0.88026,1.165,0.22563,0.26017,0.26035,0.3,3.2697,3.2697,0.066801,0.066166,0,1,1.136,1,-1.5213e-13,0,0.90594,3.2697,0.67303,0.67348,1,0.044,0.044,0.002,0
0.35,0.8825,1.165,0.225,0.25981,0.25999,0.3,3.2689,3.2689,0.068065,0.067435,0,1,1.1331,1,-4.5126e-13,0,0.90351,3.2689,0.67213,0.67258,1,0.045,0.045,0.002,0
0.35,0.88474,1.165,0.22438,0.25945,0.25963,0.3,3.2682,3.2682,0.069321,0.068695,0,1,1.1303,1,-5.9962e-13,0,0.90109,3.2682,0.67123,0.67168,1,0.046,0.046,0.002,0
0.35,0.88696,1.165,0.22377,0.25909,0.25927,0.3,3.2675,3.2675,0.070569,0.069947,0,1,1.1274,1,0,0,0.8987,3.2675,0.67034,0.67078,1,0.047,0.047,0.002,0
0.35,0.88917,1.165,0.22316,0.25874,0.25892,0.3,3.2667,3.2667,0.071809,0.071191,0,1,1.1246,1,2.9885e-13,0,0.89633,3.2667,0.66945,0.66989,1,0.048,0.048,0.002,0
0.35,0.89138,1.165,0.22255,0.25839,0.25856,0.3,3.266,3.266,0.07304,0.072427,0,1,1.1219,1,1.4881e-13,0,0.89397,3.266,0.66857,0.66901,1,0.049,0.049,0.002,0
0.35,0.89357,1.165,0.22195,0.25804,0.25821,0.3,3.2652,3.2652,0.074264,0.073654,0,1,1.1191,1,2.9726e-13,0,0.89164,3.2652,0.6677,0.66813,1,0.05,0.05,0.002,0
0.35,0.89576,1.165,0.22135,0.25769,0.25786,0.3,3.2645,3.2645,0.07548,0.074874,0,1,1.1164,1,-1.4802e-13,0,0.88932,3.2645,0.66683,0.66726,1,0.051,0.051,0.002,0
0.35,0.89794,1.165,0.22075,0.25734,0.25752,0.3,3.2637,3.2637,0.076688,0.076086,0,1,1.1137,1,-5.901e-13,0,0.88702,3.2637,0.66597,0.6664,1,0.052,0.052,0.002,0
0.35,0.90011,1.165,0.22017,0.257,0.25717,0.3,3.263,3.263,0.077889,0.07729,0,1,1.111,1,-5.8877e-13,0,0.88474,3.263,0.66511,0.66554,1,0.053,0.053,0.002,0
