Time,"Apparent_viscosity","Gas_Density","Gas_Mobility","Gas_Saturation","Gas_Saturation_mean","Gas_Viscosity","Gas_pressure","Oil_Pressure","Oil_Saturation","Oil_Saturation_mean","Permeability","Porosity","Total_Mobility","Velocity:0","Velocity:1","Velocity:2","Water_Mobility","Water_Pressure","Water_Saturation","Water_Saturation_mean","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.35,1.09,0.0576,0.1644,0.22208,0.22219,0.3,348.6,348.6,0.17724,0.17686,-2.0367,1,0.91744,1,8.2404e-13,0,0.72163,348.6,0.60068,0.60095,1,0.16,0.16,0.001,0
0.35,1.0964,0.0576,0.16317,0.22125,0.22135,0.3,348.16,348.16,0.18024,0.17987,-2.0367,1,0.91208,1,4.077e-13,0,0.71643,348.16,0.59851,0.59878,1,0.164,0.164,0.001,0
0.35,1.1027,0.0576,0.16195,0.22042,0.22052,0.3,347.71,347.71,0.18321,0.18284,-2.0367,1,0.90683,1,-1.3086e-13,0,0.71131,347.71,0.59637,0.59663,1,0.168,0.168,0.001,0
0.35,1.1091,0.0576,0.16075,0.2196,0.2197,0.3,347.26,347.26,0.18615,0.18578,-2.0367,1,0.90167,1,8.0449e-13,0,0.70628,347.26,0.59425,0.59452,1,0.172,0.172,0.001,0
0.35,1.1153,0.0576,0.15956,0.21878,0.21889,0.3,346.81,346.81,0.18905,0.18869,-2.0367,1,0.89661,1,-2.0163e-13,0,0.70132,346.81,0.59216,0.59242,1,0.176,0.176,0.001,0
0.35,1.1215,0.0576,0.15838,0.21798,0.21808,0.3,346.35,346.35,0.19192,0.19157,-2.0367,1,0.89165,1,9.9238e-13,0,0.69643,346.35,0.5901,0.59036,1,0.18,0.18,0.001,0
0.35,1.1277,0.0576,0.15722,0.21718,0.21728,0.3,345.9,345.9,0.19477,0.19441,-2.0367,1,0.88677,1,5.2727e-13,0,0.69162,345.9,0.58806,0.58831,1,0.184,0.184,0.001,0
0.35,1.1338,0.0576,0.15607,0.21638,0.21648,0.3,345.43,345.43,0.19758,0.19723,-2.0367,1,0.88199,1,-1.3046e-12,0,0.68688,345.43,0.58604,0.58629,1,0.188,0.188,0.001,0
0.35,1.1399,0.0576,0.15493,0.21559,0.21569,0.3,344.97,344.97,0.20037,0.20002,-2.0367,1,0.87729,1,1.3129e-13,0,0.68221,344.97,0.58404,0.58429,1,0.192,0.192,0.001,0
0.35,1.1459,0.0576,0.1538,0.2148,0.2149,0.3,344.5,344.5,0.20313,0.20278,-2.0367,1,0.87267,1,1.9298e-13,0,0.67761,344.5,0.58207,0.58231,1,0.196,0.196,0.001,0
0.35,1.1519,0.0576,0.15269,0.21402,0.21412,0.3,344.03,344.03,0.20586,0.20552,-2.0367,1,0.86813,1,3.2115e-13,0,0.67306,344.03,0.58011,0.58036,1,0.2,0.2,0.001,0
0.35,1.1578,0.0576,0.15158,0.21325,0.21334,0.3,343.56,343.56,0.20857,0.20823,-2.0367,1,0.86367,1,0,0,0.66859,343.56,0.57818,0.57842,1,0.204,0.204,0.001,0
0.35,1.1638,0.0576,0.15049,0.21248,0.21257,0.3,343.08,343.08,0.21126,0.21092,-2.0367,1,0.85928,1,1.9077e-13,0,0.66417,343.08,0.57627,0.5765,1,0.208,0.208,0.001,0
0.35,1.1696,0.0576,0.14941,0.21171,0.21181,0.3,342.6,342.6,0.21392,0.21359,-2.0367,1,0.85497,1,6.3019e-13,0,0.6598,342.6,0.57437,0.57461,1,0.212,0.212,0.001,0
0.35,1.1755,0.0576,0.14833,0.21095,0.21104,0.3,342.12,342.12,0.21656,0.21623,-2.0367,1,0.85073,1,3.7211e-13,0,0.6555,342.12,0.57249,0.57273,1,0.216,0.216,0.001,0
0.35,1.1813,0.0576,0.14727,0.21019,0.21028,0.3,341.63,341.63,0.21917,0.21885,-2.0367,1,0.84655,1,8.653e-13,0,0.65125,341.63,0.57063,0.57087,1,0.22,0.22,0.001,0
0.35,1.187,0.0576,0.14621,0.20944,0.20953,0.3,341.14,341.14,0.22177,0.22145,-2.0367,1,0.84244,1,8.5778e-13,0,0.64705,341.14,0.56879,0.56902,1,0.224,0.224,0.001,0
0.35,1.1927,0.0576,0.14516,0.20868,0.20878,0.3,340.65,340.65,0.22435,0.22403,-2.0367,1,0.8384,1,7.3542e-13,0,0.64291,340.65,0.56697,0.5672,1,0.228,0.228,0.001,0
0.35,1.1984,0.0576,0.14412,0.20794,0.20803,0.3,340.15,340.15,0.2269,0.22659,-2.0367,1,0.83442,1,1.2017e-13,0,0.63881,340.15,0.56516,0.56538,1,0.232,0.232,0.001,0
0.35,1.2041,0.0576,0.14309,0.20719,0.20728,0.3,339.66,339.66,0.22944,0.22913,-2.0367,1,0.8305,1,3.0147e-13,0,0.63476,339.66,0.56337,0.56359,1,0.236,0.236,0.001,0
0.35,1.2097,0.0576,0.14207,0.20645,0.20654,0.3,339.15,339.15,0.23196,0.23165,-2.0367,1,0.82664,1,2.9862e-13,0,0.63076,339.15,0.56159,0.56181,1,0.24,0.24,0.001,0
0.35,1.2153,0.0576,0.14105,0.20571,0.2058,0.3,338.65,338.65,0.23447,0.23415,-2.0367,1,0.82284,1,1.129e-12,0,0.62681,338.65,0.55983,0.56005,1,0.244,0.244,0.001,0
0.35,1.2209,0.0576,0.14004,0.20497,0.20506,0.3,338.14,338.14,0.23695,0.23664,-2.0367,1,0.81909,1,-5.8944e-14,0,0.6229,338.14,0.55808,0.5583,1,0.248,0.248,0.001,0
0.35,1.2264,0.0576,0.13904,0.20424,0.20433,0.3,337.63,337.63,0.23942,0.23911,-2.0367,1,0.8154,1,1.29e-12,0,0.61904,337.63,0.55634,0.55656,1,0.252,0.252,0.001,0
0.35,1.2319,0.0576,0.13805,0.2035,0.2036,0.3,337.12,337.12,0.24187,0.24157,-2.0367,1,0.81176,1,2.3272e-13,0,0.61521,337.12,0.55462,0.55484,1,0.256,0.256,0.001,0
0.35,1.2374,0.0576,0.13706,0.20277,0.20286,0.3,336.6,336.6,0.24431,0.24401,-2.0367,1,0.80817,1,3.4855e-13,0,0.61143,336.6,0.55291,0.55313,1,0.26,0.26,0.001,0
0.35,1.2428,0.0576,0.13607,0.20204,0.20213,0.3,336.08,336.08,0.24674,0.24643,-2.0367,1,0.80464,1,-5.7428e-14,0,0.60769,336.08,0.55122,0.55143,1,0.264,0.264,0.001,0
0.35,1.2482,0.0576,0.13509,0.20132,0.20141,0.3,335.55,335.55,0.24915,0.24885,-2.0367,1,0.80115,1,1.257e-12,0,0.60398,335.55,0.54954,0.54975,1,0.268,0.268,0.001,0
0.35,1.2536,0.0576,0.13412,0.20059,0.20068,0.3,335.03,335.03,0.25154,0.25125,-2.0367,1,0.79771,1,1.0771e-12,0,0.60032,335.03,0.54787,0.54807,1,0.272,0.272,0.001,0
0.35,1.2589,0.0576,0.13315,0.19986,0.19995,0.3,334.5,334.5,0.25393,0.25363,-2.0367,1,0.79432,1,1.1439e-13,0,0.59669,334.5,0.54621,0.54641,1,0.276,0.276,0.001,0
0.35,1.2643,0.0576,0.13219,0.19914,0.19923,0.3,333.96,333.96,0.2563,0.25601,-2.0367,1,0.79097,1,8.3947e-13,0,0.59309,333.96,0.54456,0.54477,1,0.28,0.28,0.001,0
0.35,1.2696,0.0576,0.13123,0.19841,0.1985,0.3,333.43,333.43,0.25866,0.25837,-2.0367,1,0.78767,1,-1.6508e-13,0,0.58953,333.43,0.54292,0.54313,1,0.284,0.284,0.001,0
0.35,1.2748,0.0576,0.13027,0.19769,0.19778,0.3,332.88,332.88,0.26101,0.26072,-2.0367,1,0.78441,1,-8.84e-13,0,0.58601,332.88,0.5413,0.5415,1,0.288,0.288,0.001,0
0.35,1.2801,0.0576,0.12932,0.19697,0.19706,0.3,332.34,332.34,0.26335,0.26306,-2.0367,1,0.78119,1,-1.6469e-13,0,0.58251,332.34,0.53968,0.53988,1,0.292,0.292,0.001,0
0.35,1.2853,0.0576,0.12837,0.19624,0.19633,0.3,331.79,331.79,0.26568,0.26539,-2.0367,1,0.77801,1,1.619e-13,0,0.57905,331.79,0.53808,0.53828,1,0.296,0.296,0.001,0
0.35,1.2905,0.0576,0.12743,0.19552,0.19561,0.3,331.24,331.24,0.268,0.26771,-2.0367,1,0.77487,1,-1.6259e-13,0,0.57562,331.24,0.53648,0.53668,1,0.3,0.3,0.001,0
0.35,1.2957,0.0576,0.12649,0.1948,0.19489,0.3,330.69,330.69,0.27031,0.27002,-2.0367,1,0.77178,1,7.5567e-13,0,0.57222,330.69,0.53489,0.53509,1,0.304,0.304,0.001,0
0.35,1.3009,0.0576,0.12555,0.19407,0.19416,0.3,330.13,330.13,0.27261,0.27232,-2.0367,1,0.76872,1,-8.5615e-13,0,0.56886,330.13,0.53332,0.53351,1,0.308,0.308,0.001,0
0.35,1.306,0.0576,0.12461,0.19335,0.19344,0.3,329.57,329.57,0.2749,0.27462,-2.0367,1,0.7657,1,1.046e-13,0,0.56551,329.57,0.53175,0.53194,1,0.312,0.312,0.001,0
0.35,1.3111,0.0576,0.12368,0.19262,0.19271,0.3,329.01,329.01,0.27719,0.2769,-2.0367,1,0.76271,1,-5.8112e-13,0,0.5622,329.01,0.53019,0.53038,1,0.316,0.316,0.001,0
0.35,1.3162,0.0576,0.12275,0.19189,0.19199,0.3,328.44,328.44,0.27947,0.27918,-2.0367,1,0.75976,1,-3.1322e-13,0,0.55892,328.44,0.52864,0.52883,1,0.32,0.32,0.001,0
0.35,1.3213,0.0576,0.12181,0.19117,0.19126,0.3,327.87,327.87,0.28174,0.28146,-2.0367,1,0.75685,1,-4.7288e-13,0,0.55566,327.87,0.52709,0.52729,1,0.324,0.324,0.001,0
0.35,1.3263,0.0576,0.12089,0.19044,0.19053,0.3,327.3,327.3,0.28401,0.28372,-2.0367,1,0.75397,1,-1.0538e-13,0,0.55242,327.3,0.52556,0.52575,1,0.328,0.328,0.001,0
0.35,1.3313,0.0576,0.11996,0.1897,0.18979,0.3,326.72,326.72,0.28627,0.28599,-2.0367,1,0.75112,1,0,0,0.54921,326.72,0.52403,0.52422,1,0.332,0.332,0.001,0
0.35,1.3364,0.0576,0.11903,0.18897,0.18906,0.3,326.14,326.14,0.28852,0.28824,-2.0367,1,0.7483,1,-9.1918e-13,0,0.54603,326.14,0.52251,0.5227,1,0.336,0.336,0.001,0
0.35,1.3413,0.0576,0.1181,0.18823,0.18832,0.3,325.55,325.55,0.29078,0.2905,-2.0367,1,0.74552,1,-1.0514e-13,0,0.54286,325.55,0.52099,0.52118,1,0.34,0.34,0.001,0
0.35,1.3463,0.0576,0.11718,0.18749,0.18758,0.3,324.96,324.96,0.29303,0.29275,-2.0367,1,0.74276,1,-1.7347e-15,0,0.53972,324.96,0.51948,0.51967,1,0.344,0.344,0.001,0
0.35,1.3513,0.0576,0.11625,0.18675,0.18684,0.3,324.37,324.37,0.29527,0.29499,-2.0367,1,0.74004,1,-3.9451e-13,0,0.53661,324.37,0.51798,0.51817,1,0.348,0.348,0.001,0
0.35,1.3562,0.0576,0.11532,0.186,0.18609,0.3,323.78,323.78,0.29752,0.29724,-2.0367,1,0.73734,1,2.4581e-13,0,0.53351,323.78,0.51648,0.51667,1,0.352,0.352,0.001,0
0.35,1.3611,0.0576,0.11439,0.18525,0.18534,0.3,323.18,323.18,0.29976,0.29948,-2.0367,1,0.73468,1,4.7799e-14,0,0.53043,323.18,0.51499,0.51518,1,0.356,0.356,0.001,0
0.35,1.3661,0.0576,0.11346,0.18449,0.18459,0.3,322.57,322.57,0.302,0.30172,-2.0367,1,0.73204,1,6.3975e-13,0,0.52737,322.57,0.5135,0.51369,1,0.36,0.36,0.001,0
0.35,1.3709,0.0576,0.11253,0.18373,0.18383,0.3,321.97,321.97,0.30425,0.30397,-2.0367,1,0.72942,1,-1.9383e-13,0,0.52433,321.97,0.51202,0.51221,1,0.364,0.364,0.001,0
0.35,1.3758,0.0576,0.11159,0.18297,0.18306,0.3,321.35,321.35,0.30649,0.30621,-2.0367,1,0.72684,1,2.9489e-13,0,0.52131,321.35,0.51054,0.51073,1,0.368,0.368,0.001,0
0.35,1.3807,0.0576,0.11065,0.1822,0.18229,0.3,320.74,320.74,0.30873,0.30845,-2.0367,1,0.72427,1,-2.9124e-13,0,0.51831,320.74,0.50907,0.50925,1,0.372,0.372,0.001,0
0.35,1.3856,0.0576,0.10971,0.18142,0.18152,0.3,320.12,320.12,0.31098,0.3107,-2.0367,1,0.72173,1,-6.9389e-15,0,0.51532,320.12,0.5076,0.50778,1,0.376,0.376,0.001,0
0.35,1.3904,0.0576,0.10876,0.18063,0.18073,0.3,319.5,319.5,0.31323,0.31295,-2.0367,1,0.71922,1,-9.029e-13,0,0.51234,319.5,0.50613,0.50632,1,0.38,0.38,0.001,0
0.35,1.3952,0.0576,0.10781,0.17984,0.17994,0.3,318.87,318.87,0.31549,0.31521,-2.0367,1,0.71673,1,2.8723e-13,0,0.50938,318.87,0.50467,0.50485,1,0.384,0.384,0.001,0
0.35,1.4001,0.0576,0.10685,0.17904,0.17914,0.3,318.24,318.24,0.31775,0.31747,-2.0367,1,0.71426,1,5.6198e-13,0,0.50644,318.24,0.50321,0.50339,1,0.388,0.388,0.001,0
0.35,1.4049,0.0576,0.10589,0.17823,0.17834,0.3,317.6,317.6,0.32002,0.31973,-2.0367,1,0.71181,1,-4.1992e-13,0,0.50351,317.6,0.50175,0.50193,1,0.392,0.392,0.001,0
0.35,1.4097,0.0576,0.10492,0.17742,0.17752,0.3,316.97,316.97,0.32229,0.32201,-2.0367,1,0.70938,1,-1.8362e-13,0,0.50058,316.97,0.50029,0.50047,1,0.396,0.396,0.001,0
0.35,1.4145,0.0576,0.10394,0.17659,0.17669,0.3,316.32,316.32,0.32458,0.32429,-2.0367,1,0.70697,1,-8.8572e-14,0,0.49767,316.32,0.49884,0.49902,1,0.4,0.4,0.001,0
