"K","Sb","U:0","U:1","U:2","Ua:0","Ua:1","Ua:2","Ub:0","Ub:1","Ub:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
2.4535e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.21,0.025,0.21,0.05
2.4557e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.213,0.025,0.213,0.05
2.4579e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.216,0.025,0.216,0.05
2.4601e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.219,0.025,0.219,0.05
2.4623e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.222,0.025,0.222,0.05
2.4645e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.225,0.025,0.225,0.05
2.4667e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.228,0.025,0.228,0.05
2.4689e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.231,0.025,0.231,0.05
2.4711e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.234,0.025,0.234,0.05
2.4732e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.237,0.025,0.237,0.05
2.4754e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.24,0.025,0.24,0.05
2.4776e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.243,0.025,0.243,0.05
2.4798e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.246,0.025,0.246,0.05
2.482e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.249,0.025,0.249,0.05
2.496e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.252,0.025,0.252,0.05
2.5158e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.255,0.025,0.255,0.05
2.5357e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.258,0.025,0.258,0.05
2.5555e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.261,0.025,0.261,0.05
2.5754e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.264,0.025,0.264,0.05
2.5952e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.267,0.025,0.267,0.05
2.6151e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.27,0.025,0.27,0.05
2.6349e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.273,0.025,0.273,0.05
2.6547e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.276,0.025,0.276,0.05
2.6746e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.279,0.025,0.279,0.05
2.6944e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.282,0.025,0.282,0.05
2.7143e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.285,0.025,0.285,0.05
2.7341e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.288,0.025,0.288,0.05
2.754e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.291,0.025,0.291,0.05
2.7738e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.294,0.025,0.294,0.05
2.7937e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.297,0.025,0.297,0.05
2.8135e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.3,0.025,0.3,0.05
2.8294e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.303,0.025,0.303,0.05
2.8454e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.306,0.025,0.306,0.05
2.8613e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.309,0.025,0.309,0.05
2.8773e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.312,0.025,0.312,0.05
2.8932e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.315,0.025,0.315,0.05
2.9092e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.318,0.025,0.318,0.05
2.9251e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.321,0.025,0.321,0.05
2.9411e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.324,0.025,0.324,0.05
2.957e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.327,0.025,0.327,0.05
2.973e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.33,0.025,0.33,0.05
2.9889e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.333,0.025,0.333,0.05
3.0048e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.336,0.025,0.336,0.05
3.0208e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.339,0.025,0.339,0.05
3.0367e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.342,0.025,0.342,0.05
3.0527e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.345,0.025,0.345,0.05
3.0686e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.348,0.025,0.348,0.05
3.0813e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.351,0.025,0.351,0.05
3.0874e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.354,0.025,0.354,0.05
3.0936e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.357,0.025,0.357,0.05
3.0997e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.36,0.025,0.36,0.05
3.1059e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.363,0.025,0.363,0.05
3.112e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.366,0.025,0.366,0.05
3.1182e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.369,0.025,0.369,0.05
3.1243e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.372,0.025,0.372,0.05
3.1305e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.375,0.025,0.375,0.05
3.1366e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.378,0.025,0.378,0.05
3.1428e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.381,0.025,0.381,0.05
3.1489e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.384,0.025,0.384,0.05
3.155e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.387,0.025,0.387,0.05
3.1612e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.39,0.025,0.39,0.05
3.1673e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.393,0.025,0.393,0.05
3.1735e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.396,0.025,0.396,0.05
3.1796e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.399,0.025,0.399,0.05
3.1818e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.402,0.025,0.402,0.05
3.1819e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.405,0.025,0.405,0.05
3.182e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.408,0.025,0.408,0.05
3.1822e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.411,0.025,0.411,0.05
3.1823e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.414,0.025,0.414,0.05
3.1825e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.417,0.025,0.417,0.05
3.1826e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.42,0.025,0.42,0.05
3.1827e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.423,0.025,0.423,0.05
3.1829e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.426,0.025,0.426,0.05
3.183e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.429,0.025,0.429,0.05
3.1832e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.432,0.025,0.432,0.05
3.1833e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.435,0.025,0.435,0.05
3.1835e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.438,0.025,0.438,0.05
3.1836e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.441,0.025,0.441,0.05
3.1837e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.444,0.025,0.444,0.05
3.1839e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.447,0.025,0.447,0.05
3.184e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.45,0.025,0.45,0.05
3.1559e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.453,0.025,0.453,0.05
3.1278e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.456,0.025,0.456,0.05
3.0997e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.459,0.025,0.459,0.05
3.0716e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.462,0.025,0.462,0.05
3.0435e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.465,0.025,0.465,0.05
3.0154e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.468,0.025,0.468,0.05
2.9873e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.471,0.025,0.471,0.05
2.9592e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.474,0.025,0.474,0.05
2.931e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.477,0.025,0.477,0.05
2.9029e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.48,0.025,0.48,0.05
2.8748e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.483,0.025,0.483,0.05
2.8467e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.486,0.025,0.486,0.05
