"Velocity:0","Velocity:1","Velocity:2","Water_Saturation","Gas_Saturation","Water_Saturation_mean","Gas_Saturation_mean","Oil_Saturation","Oil_Saturation_mean","Gas_Viscosity","Apparent_viscosity","Gas_Mobility","Water_Mobility","Total_Mobility","Gas_Density","Oil_Pressure","Water_Pressure","Permeability","Porosity","Gas_pressure","Points:0","Points:1","Points:2"
1.4111e-05,1.3119e-16,0,0.20979,0.19253,0.21042,0.18974,0.59769,0.59984,1e-05,0.00016984,5791.7,18.833,5888,1.165,5.1119e+05,5.1119e+05,-12,0.25,5.1119e+05,0.0367,0,0
1.4111e-05,1.3119e-16,0,0.21106,0.18694,0.21042,0.18974,0.602,0.59984,1e-05,0.0001799,5460.6,19.273,5558.6,1.165,5.1119e+05,5.1119e+05,-12,0.25,5.1119e+05,0.04037,0,0
1.4111e-05,9.1832e-16,0,0.20979,0.19253,0.21042,0.18974,0.59769,0.59984,1e-05,0.00016984,5791.7,18.833,5888,1.165,5.1119e+05,5.1119e+05,-12,0.25,5.1119e+05,0.0367,0.01,0
1.4111e-05,9.1832e-16,0,0.21106,0.18694,0.21042,0.18974,0.602,0.59984,1e-05,0.0001799,5460.6,19.273,5558.6,1.165,5.1119e+05,5.1119e+05,-12,0.25,5.1119e+05,0.04037,0.01,0
1.4111e-05,-6.1798e-16,0,0.21116,0.18664,0.2117,0.18415,0.6022,0.60415,1e-05,0.00018047,5443,19.307,5541.1,1.165,5.1118e+05,5.1118e+05,-12,0.25,5.1118e+05,0.04037,0,0
1.4111e-05,-6.1798e-16,0,0.21224,0.18166,0.2117,0.18415,0.6061,0.60415,1e-05,0.00019026,5156.2,19.683,5255.9,1.165,5.1118e+05,5.1118e+05,-12,0.25,5.1118e+05,0.04404,0,0
1.4111e-05,1.236e-15,0,0.21116,0.18664,0.2117,0.18415,0.6022,0.60415,1e-05,0.00018047,5443,19.307,5541.1,1.165,5.1118e+05,5.1118e+05,-12,0.25,5.1118e+05,0.04037,0.01,0
1.4111e-05,1.236e-15,0,0.21224,0.18166,0.2117,0.18415,0.6061,0.60415,1e-05,0.00019026,5156.2,19.683,5255.9,1.165,5.1118e+05,5.1118e+05,-12,0.25,5.1118e+05,0.04404,0.01,0
1.4111e-05,-1.2871e-15,0,0.21231,0.18141,0.21278,0.17917,0.60628,0.60806,1e-05,0.00019077,5142.2,19.707,5242,1.165,5.1118e+05,5.1118e+05,-12,0.25,5.1118e+05,0.04404,0,0
1.4111e-05,-1.2871e-15,0,0.21325,0.17692,0.21278,0.17917,0.60983,0.60806,1e-05,0.00020032,4890.9,20.039,4992.1,1.165,5.1118e+05,5.1118e+05,-12,0.25,5.1118e+05,0.04771,0,0
1.4111e-05,-2.3403e-16,0,0.21231,0.18141,0.21278,0.17917,0.60628,0.60806,1e-05,0.00019077,5142.2,19.707,5242,1.165,5.1118e+05,5.1118e+05,-12,0.25,5.1118e+05,0.04404,0.01,0
1.4111e-05,-2.3403e-16,0,0.21325,0.17692,0.21278,0.17917,0.60983,0.60806,1e-05,0.00020032,4890.9,20.039,4992.1,1.165,5.1118e+05,5.1118e+05,-12,0.25,5.1118e+05,0.04771,0.01,0
1.4111e-05,-3.3372e-16,0,0.2133,0.17672,0.21372,0.17468,0.60999,0.6116,1e-05,0.00020077,4879.4,20.057,4980.7,1.165,5.1117e+05,5.1117e+05,-12,0.25,5.1117e+05,0.04771,0,0
1.4111e-05,-3.3372e-16,0,0.21414,0.17264,0.21372,0.17468,0.61322,0.6116,1e-05,0.0002101,4657,20.355,4759.7,1.165,5.1117e+05,5.1117e+05,-12,0.25,5.1117e+05,0.05138,0,0
1.4111e-05,3.3372e-16,0,0.2133,0.17672,0.21372,0.17468,0.60999,0.6116,1e-05,0.00020077,4879.4,20.057,4980.7,1.165,5.1117e+05,5.1117e+05,-12,0.25,5.1117e+05,0.04771,0.01,0
1.4111e-05,3.3372e-16,0,0.21414,0.17264,0.21372,0.17468,0.61322,0.6116,1e-05,0.0002101,4657,20.355,4759.7,1.165,5.1117e+05,5.1117e+05,-12,0.25,5.1117e+05,0.05138,0.01,0
1.4111e-05,3.1838e-16,0,0.21418,0.17247,0.21456,0.1706,0.61336,0.61484,1e-05,0.00021051,4647.6,20.369,4750.3,1.165,5.1117e+05,5.1117e+05,-12,0.25,5.1117e+05,0.05138,0,0
1.4111e-05,3.1838e-16,0,0.21494,0.16874,0.21456,0.1706,0.61632,0.61484,1e-05,0.00021963,4449.1,20.642,4553.1,1.165,5.1117e+05,5.1117e+05,-12,0.25,5.1117e+05,0.05505,0,0
1.4111e-05,-3.1837e-16,0,0.21418,0.17247,0.21456,0.1706,0.61336,0.61484,1e-05,0.00021051,4647.6,20.369,4750.3,1.165,5.1117e+05,5.1117e+05,-12,0.25,5.1117e+05,0.05138,0.01,0
1.4111e-05,-3.1837e-16,0,0.21494,0.16874,0.21456,0.1706,0.61632,0.61484,1e-05,0.00021963,4449.1,20.642,4553.1,1.165,5.1117e+05,5.1117e+05,-12,0.25,5.1117e+05,0.05505,0.01,0
1.4111e-05,2.0312e-16,0,0.21497,0.16859,0.21532,0.16688,0.61644,0.6178,1e-05,0.00022001,4441.2,20.653,4545.2,1.165,5.1116e+05,5.1116e+05,-12,0.25,5.1116e+05,0.05505,0,0
1.4111e-05,2.0312e-16,0,0.21567,0.16517,0.21532,0.16688,0.61916,0.6178,1e-05,0.00022894,4262.8,20.905,4367.9,1.165,5.1116e+05,5.1116e+05,-12,0.25,5.1116e+05,0.05872,0,0
1.4111e-05,-4.0623e-16,0,0.21497,0.16859,0.21532,0.16688,0.61644,0.6178,1e-05,0.00022001,4441.2,20.653,4545.2,1.165,5.1116e+05,5.1116e+05,-12,0.25,5.1116e+05,0.05505,0.01,0
1.4111e-05,-4.0623e-16,0,0.21567,0.16517,0.21532,0.16688,0.61916,0.6178,1e-05,0.00022894,4262.8,20.905,4367.9,1.165,5.1116e+05,5.1116e+05,-12,0.25,5.1116e+05,0.05872,0.01,0
1.4111e-05,5.847e-16,0,0.21569,0.16504,0.21602,0.16346,0.61926,0.62052,1e-05,0.00022929,4256,20.914,4361.2,1.165,5.1116e+05,5.1116e+05,-12,0.25,5.1116e+05,0.05872,0,0
1.4111e-05,5.847e-16,0,0.21634,0.16188,0.21602,0.16346,0.62178,0.62052,1e-05,0.00023805,4094.5,21.148,4200.8,1.165,5.1116e+05,5.1116e+05,-12,0.25,5.1116e+05,0.06239,0,0
