Time,"Apparent_viscosity","Gas_Density","Gas_Mobility","Gas_Saturation","Gas_Saturation_mean","Gas_Viscosity","Gas_pressure","Oil_Pressure","Oil_Saturation","Oil_Saturation_mean","Permeability","Porosity","Total_Mobility","Velocity:0","Velocity:1","Velocity:2","Water_Mobility","Water_Pressure","Water_Saturation","Water_Saturation_mean","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.44,0.89211,1.165,0.22235,0.25827,0.25841,0.3,2.4446,2.4446,0.073451,0.072963,0,1,1.1209,1,1.4865e-13,0,0.89319,2.4446,0.66828,0.66863,1,0.062,0.062,0.002,0
0.44,0.89386,1.165,0.22187,0.25799,0.25813,0.3,2.4439,2.4439,0.074423,0.073938,0,1,1.1187,1,5.9377e-13,0,0.89134,2.4439,0.66758,0.66793,1,0.063,0.063,0.002,0
0.44,0.8956,1.165,0.22139,0.25772,0.25785,0.3,2.4431,2.4431,0.07539,0.074907,0,1,1.1166,1,-1.7347e-15,0,0.88949,2.4431,0.66689,0.66724,1,0.064,0.064,0.002,0
0.44,0.89733,1.165,0.22092,0.25744,0.25758,0.3,2.4424,2.4424,0.076352,0.075872,0,1,1.1144,1,-4.4271e-13,0,0.88766,2.4424,0.66621,0.66655,1,0.065,0.065,0.002,0
0.44,0.89906,1.165,0.22045,0.25717,0.2573,0.3,2.4416,2.4416,0.07731,0.076832,0,1,1.1123,1,-1.4914e-13,0,0.88584,2.4416,0.66552,0.66586,1,0.066,0.066,0.002,0
0.44,0.90079,1.165,0.21998,0.25689,0.25703,0.3,2.4409,2.4409,0.078262,0.077787,0,1,1.1101,1,4.3368e-16,0,0.88403,2.4409,0.66484,0.66518,1,0.067,0.067,0.002,0
0.44,0.9025,1.165,0.21952,0.25662,0.25676,0.3,2.4401,2.4401,0.07921,0.078738,0,1,1.108,1,2.9186e-13,0,0.88224,2.4401,0.66417,0.6645,1,0.068,0.068,0.002,0
0.44,0.90422,1.165,0.21905,0.25635,0.25649,0.3,2.4393,2.4393,0.080154,0.079683,0,1,1.1059,1,1.4693e-13,0,0.88045,2.4393,0.66349,0.66383,1,0.069,0.069,0.002,0
0.44,0.90593,1.165,0.21859,0.25608,0.25622,0.3,2.4386,2.4386,0.081093,0.080624,0,1,1.1038,1,2.9065e-13,0,0.87867,2.4386,0.66282,0.66316,1,0.07,0.07,0.002,0
0.44,0.90763,1.165,0.21814,0.25581,0.25595,0.3,2.4378,2.4378,0.082027,0.081561,0,1,1.1018,1,-2.9135e-13,0,0.87691,2.4378,0.66216,0.66249,1,0.071,0.071,0.002,0
