Time,"K","Sa","Sb","Sc","Ua:0","Ua:1","Ua:2","Ub:0","Ub:1","Ub:2","Uc:0","Uc:1","Uc:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,2.7831e-12,0.013,0.56798,0.41902,0,0,0,0,0,0,0,0,0,0,1,0.312,0,0,0.312
0,2.7831e-12,0.013,0.56798,0.41902,0,0,0,0,0,0,0,0,0,0,1,0.316,0,0,0.316
0,2.7831e-12,0.013,0.56798,0.41902,0,0,0,0,0,0,0,0,0,0,1,0.32,0,0,0.32
0,2.7831e-12,0.013,0.56798,0.41902,0,0,0,0,0,0,0,0,0,0,1,0.324,0,0,0.324
0,2.7831e-12,0.013,0.56798,0.41902,0,0,0,0,0,0,0,0,0,0,1,0.328,0,0,0.328
0,2.7831e-12,0.013,0.56798,0.41902,0,0,0,0,0,0,0,0,0,0,1,0.332,0,0,0.332
0,2.7831e-12,0.013,0.56798,0.41902,0,0,0,0,0,0,0,0,0,0,1,0.336,0,0,0.336
0,2.7831e-12,0.013,0.56798,0.41902,0,0,0,0,0,0,0,0,0,0,1,0.34,0,0,0.34
0,2.7831e-12,0.013,0.56798,0.41902,0,0,0,0,0,0,0,0,0,0,1,0.344,0,0,0.344
0,2.7831e-12,0.013,0.56798,0.41902,0,0,0,0,0,0,0,0,0,0,1,0.348,0,0,0.348
0,2.7831e-12,0.013,0.56798,0.41902,0,0,0,0,0,0,0,0,0,0,1,0.352,0,0,0.352
0,2.7831e-12,0.013,0.56798,0.41902,0,0,0,0,0,0,0,0,0,0,1,0.356,0,0,0.356
0,2.7831e-12,0.013,0.56798,0.41902,0,0,0,0,0,0,0,0,0,0,1,0.36,0,0,0.36
0,2.7831e-12,0.013,0.56798,0.41902,0,0,0,0,0,0,0,0,0,0,1,0.364,0,0,0.364
0,2.7831e-12,0.013,0.56798,0.41902,0,0,0,0,0,0,0,0,0,0,1,0.368,0,0,0.368
0,2.7831e-12,0.013,0.56798,0.41902,0,0,0,0,0,0,0,0,0,0,1,0.372,0,0,0.372
0,2.7831e-12,0.013,0.56798,0.41902,0,0,0,0,0,0,0,0,0,0,1,0.376,0,0,0.376
0,2.7831e-12,0.013,0.56798,0.41902,0,0,0,0,0,0,0,0,0,0,1,0.38,0,0,0.38
0,2.7831e-12,0.013,0.56798,0.41902,0,0,0,0,0,0,0,0,0,0,1,0.384,0,0,0.384
0,2.7831e-12,0.013,0.56798,0.41902,0,0,0,0,0,0,0,0,0,0,1,0.388,0,0,0.388
0,2.7831e-12,0.013,0.56798,0.41902,0,0,0,0,0,0,0,0,0,0,1,0.392,0,0,0.392
0,2.7831e-12,0.013,0.56798,0.41902,0,0,0,0,0,0,0,0,0,0,1,0.396,0,0,0.396
0,2.7831e-12,0.013,0.56798,0.41902,0,0,0,0,0,0,0,0,0,5e+06,1,0.4,0,0,0.4
