So,Sw,Sg,Cs,MRF,xD
0.170106,0.392416,0.437478,0.05,10.0,0.14114114114114112
0.170764,0.391983,0.437253,0.05,10.0,0.14214214214214213
0.171419,0.391553,0.437029,0.05,10.0,0.14314314314314314
0.172071,0.391123,0.436806,0.05,10.0,0.14414414414414412
0.17272,0.390696,0.436584,0.05,10.0,0.14514514514514515
0.173367,0.39027,0.436363,0.05,10.0,0.14614614614614616
0.174011,0.389845,0.436144,0.05,10.0,0.14714714714714713
0.174652,0.389423,0.435925,0.05,10.0,0.14814814814814814
0.175291,0.389001,0.435708,0.05,10.0,0.14914914914914915
0.175927,0.388582,0.435492,0.05,10.0,0.15015015015015015
0.17656,0.388163,0.435276,0.05,10.0,0.15115115115115113
0.177191,0.387746,0.435062,0.05,10.0,0.15215215215215214
0.17782,0.387331,0.434849,0.05,10.0,0.15315315315315317
0.178446,0.386917,0.434637,0.05,10.0,0.15415415415415415
0.17907,0.386505,0.434425,0.05,10.0,0.15515515515515516
0.179691,0.386094,0.434215,0.05,10.0,0.15615615615615616
0.18031,0.385684,0.434006,0.05,10.0,0.15715715715715714
0.180927,0.385276,0.433798,0.05,10.0,0.15815815815815815
0.181541,0.384869,0.43359,0.05,10.0,0.15915915915915915
0.182153,0.384463,0.433384,0.05,10.0,0.16016016016016013
0.182763,0.384058,0.433178,0.05,10.0,0.16116116116116116
0.183371,0.383655,0.432974,0.05,10.0,0.16216216216216217
0.183976,0.383253,0.43277,0.0499999,10.0,0.16316316316316315
0.18458,0.382853,0.432567,0.0499999,10.0,0.16416416416416416
0.185181,0.382453,0.432366,0.0499999,10.0,0.16516516516516516
0.185781,0.382055,0.432165,0.0499998,10.0,0.16616616616616614
0.186378,0.381658,0.431964,0.0499997,10.0,0.16716716716716715
0.186973,0.381262,0.431765,0.0499997,10.0,0.16816816816816818
0.187567,0.380867,0.431566,0.0499995,10.0,0.1691691691691692
0.188158,0.380473,0.431369,0.0499994,10.0,0.17017017017017017
0.188748,0.38008,0.431172,0.0499991,10.0,0.17117117117117117
0.189336,0.379688,0.430976,0.0499988,10.0,0.17217217217217218
0.189922,0.379298,0.43078,0.0499984,10.0,0.17317317317317316
0.190506,0.378908,0.430586,0.0499979,10.0,0.17417417417417416
0.191089,0.378519,0.430392,0.0499972,10.0,0.17517517517517517
0.19167,0.378131,0.430199,0.0499963,10.0,0.17617617617617617
0.192249,0.377744,0.430006,0.0499951,10.0,0.17717717717717718
0.192827,0.377358,0.429815,0.0499936,10.0,0.1781781781781782
0.193403,0.376973,0.429624,0.0499916,10.0,0.17917917917917917
0.193978,0.376589,0.429433,0.0499891,10.0,0.18018018018018017
0.194551,0.376205,0.429244,0.0499859,10.0,0.18118118118118118
0.195123,0.375823,0.429055,0.0499819,10.0,0.18218218218218216
0.195693,0.375441,0.428866,0.0499768,10.0,0.18318318318318316
0.196262,0.375059,0.428678,0.0499705,10.0,0.1841841841841842
0.19683,0.374679,0.428491,0.0499626,10.0,0.18518518518518517
0.197397,0.374299,0.428305,0.0499527,10.0,0.18618618618618618
0.197962,0.373919,0.428119,0.0499406,10.0,0.1871871871871872
0.198526,0.373541,0.427933,0.0499257,10.0,0.1881881881881882
0.19909,0.373162,0.427748,0.0499074,10.0,0.18918918918918917
0.199652,0.372784,0.427564,0.0498852,10.0,0.19019019019019018
0.200213,0.372407,0.42738,0.0498584,10.0,0.19119119119119118
0.200774,0.37203,0.427196,0.049826,10.0,0.1921921921921922
0.201334,0.371653,0.427013,0.0497871,10.0,0.1931931931931932
0.201893,0.371277,0.42683,0.0497407,10.0,0.1941941941941942
0.202452,0.370901,0.426648,0.0496855,10.0,0.19519519519519518
0.20301,0.370525,0.426466,0.0496203,10.0,0.1961961961961962
0.203567,0.370149,0.426284,0.0495436,10.0,0.1971971971971972
0.204125,0.369773,0.426102,0.0494537,10.0,0.19819819819819817
0.204682,0.369397,0.425921,0.0493488,10.0,0.19919919919919918
0.205239,0.369021,0.42574,0.0492272,10.0,0.2002002002002002
0.205797,0.368644,0.425559,0.0490866,10.0,0.2012012012012012
0.206354,0.368268,0.425378,0.0489251,10.0,0.2022022022022022
