"Fa","Fb","K","Sa","Sb","Sc","U:0","U:1","U:2","Ua:0","Ua:1","Ua:2","Ub:0","Ub:1","Ub:2","Uc:0","Uc:1","Uc:2","eps","kra","krb","krc","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.9974,0.0022804,1e-12,0.4331,0.29901,0.26789,1.4111e-05,0,0,1.4074e-05,0,0,3.2179e-08,0,0,4.5806e-09,0,0,0.25,0.27065,0.061881,0.044043,42161,1,0.13579,0.13579,0.005,0.005
0.99739,0.0022833,1e-12,0.43308,0.29902,0.26789,1.4111e-05,0,0,1.4074e-05,0,0,3.222e-08,0,0,4.5859e-09,0,0,0.25,0.27034,0.06189,0.044045,42159,1,0.13946,0.13946,0.005,0.005
0.99739,0.0022861,1e-12,0.43307,0.29903,0.2679,1.4111e-05,0,0,1.4074e-05,0,0,3.2258e-08,0,0,4.5909e-09,0,0,0.25,0.27005,0.061898,0.044046,42157,1,0.14313,0.14313,0.005,0.005
0.99739,0.0022887,1e-12,0.43305,0.29905,0.2679,1.4111e-05,0,0,1.4074e-05,0,0,3.2295e-08,0,0,4.5957e-09,0,0,0.25,0.26978,0.061905,0.044047,42155,1,0.1468,0.1468,0.005,0.005
0.99738,0.0022911,1e-12,0.43304,0.29906,0.2679,1.4111e-05,0,0,1.4074e-05,0,0,3.233e-08,0,0,4.6003e-09,0,0,0.25,0.26952,0.061912,0.044048,42153,1,0.15047,0.15047,0.005,0.005
0.99738,0.0022935,1e-12,0.43303,0.29907,0.2679,1.4111e-05,0,0,1.4074e-05,0,0,3.2363e-08,0,0,4.6046e-09,0,0,0.25,0.26927,0.061918,0.044049,42151,1,0.15414,0.15414,0.005,0.005
0.99738,0.0022956,1e-12,0.43302,0.29908,0.2679,1.4111e-05,0,0,1.4074e-05,0,0,3.2393e-08,0,0,4.6086e-09,0,0,0.25,0.26904,0.061924,0.04405,42150,1,0.15781,0.15781,0.005,0.005
0.99738,0.0022977,1e-12,0.43301,0.29909,0.26791,1.4111e-05,0,0,1.4074e-05,0,0,3.2422e-08,0,0,4.6124e-09,0,0,0.25,0.26882,0.061929,0.044051,42148,1,0.16148,0.16148,0.005,0.005
0.99737,0.0022996,1e-12,0.433,0.29909,0.26791,1.4111e-05,0,0,1.4074e-05,0,0,3.2449e-08,0,0,4.6159e-09,0,0,0.25,0.26862,0.061934,0.044051,42146,1,0.16515,0.16515,0.005,0.005
0.99737,0.0023013,1e-12,0.43299,0.2991,0.26791,1.4111e-05,0,0,1.4074e-05,0,0,3.2474e-08,0,0,4.6192e-09,0,0,0.25,0.26844,0.061939,0.044052,42144,1,0.16882,0.16882,0.005,0.005
