Time,"Velocity:0","Velocity:1","Velocity:2","Water_Saturation","Gas_Saturation","Water_Saturation_mean","Gas_Saturation_mean","Oil_Saturation","Oil_Saturation_mean","Gas_Viscosity","Apparent_viscosity","Gas_Mobility","Water_Mobility","Total_Mobility","Gas_Density","Oil_Pressure","Water_Pressure","Permeability","Porosity","Gas_pressure","Points:0","Points:1","Points:2"
750,1.6157e-05,-2.6959e-19,0,0.34895,0.46876,0.34937,0.4713,0.1823,0.17932,0.12254,0.28427,2.3884,1.0429,3.5178,1.165,3.8277e+05,3.8277e+05,-11.555,0.22,3.8277e+05,0.036,0,0
750,1.6157e-05,2.1567e-19,0,0.3498,0.47385,0.34937,0.4713,0.17635,0.17932,0.12254,0.27804,2.4568,1.0659,3.5966,1.165,3.8277e+05,3.8277e+05,-11.555,0.22,3.8277e+05,0.032,0.035449,0
750,1.6157e-05,2.1567e-19,0,0.34895,0.46876,0.34937,0.4713,0.1823,0.17932,0.12254,0.28427,2.3884,1.0429,3.5178,1.165,3.8277e+05,3.8277e+05,-11.555,0.22,3.8277e+05,0.036,0.035449,0
750,1.6157e-05,-1.0482e-19,0,0.34893,0.46868,0.34852,0.46621,0.18239,0.18527,0.12216,0.28375,2.3949,1.0426,3.5242,1.165,3.7878e+05,3.7878e+05,-11.555,0.22,3.7878e+05,0.036,0,0
750,1.6157e-05,-1.0482e-19,0,0.3481,0.46375,0.34852,0.46621,0.18815,0.18527,0.12216,0.28985,2.3296,1.0207,3.45,1.165,3.7878e+05,3.7878e+05,-11.555,0.22,3.7878e+05,0.04,0,0
750,1.6157e-05,2.1083e-19,0,0.34893,0.46868,0.34852,0.46621,0.18239,0.18527,0.12216,0.28375,2.3949,1.0426,3.5242,1.165,3.7878e+05,3.7878e+05,-11.555,0.22,3.7878e+05,0.036,0.035449,0
750,1.6157e-05,2.1083e-19,0,0.3481,0.46375,0.34852,0.46621,0.18815,0.18527,0.12216,0.28985,2.3296,1.0207,3.45,1.165,3.7878e+05,3.7878e+05,-11.555,0.22,3.7878e+05,0.04,0.035449,0
750,1.6157e-05,2.5593e-19,0,0.34809,0.46369,0.34768,0.46128,0.18822,0.19104,0.12181,0.28938,2.3354,1.0205,3.4557,1.165,3.747e+05,3.747e+05,-11.555,0.22,3.747e+05,0.04,0,0
750,1.6157e-05,2.5593e-19,0,0.34727,0.45888,0.34768,0.46128,0.19385,0.19104,0.12181,0.29539,2.2726,0.99926,3.3854,1.165,3.747e+05,3.747e+05,-11.555,0.22,3.747e+05,0.044,0,0
750,1.6157e-05,1.019e-19,0,0.34809,0.46369,0.34768,0.46128,0.18822,0.19104,0.12181,0.28938,2.3354,1.0205,3.4557,1.165,3.747e+05,3.747e+05,-11.555,0.22,3.747e+05,0.04,0.035449,0
