So,Sw,Sg,Cs,MRF,xD
0.175147,0.389096,0.435757,0.05,10.0,0.14914914914914915
0.175784,0.388676,0.43554,0.05,10.0,0.15015015015015015
0.176418,0.388257,0.435325,0.05,10.0,0.15115115115115113
0.177049,0.38784,0.43511,0.05,10.0,0.15215215215215214
0.177678,0.387425,0.434897,0.05,10.0,0.15315315315315317
0.178305,0.38701,0.434684,0.05,10.0,0.15415415415415415
0.178929,0.386598,0.434473,0.05,10.0,0.15515515515515516
0.179551,0.386186,0.434262,0.05,10.0,0.15615615615615616
0.180171,0.385776,0.434053,0.05,10.0,0.15715715715715714
0.180788,0.385367,0.433844,0.05,10.0,0.15815815815815815
0.181403,0.38496,0.433637,0.05,10.0,0.15915915915915915
0.182016,0.384554,0.43343,0.05,10.0,0.16016016016016013
0.182626,0.384149,0.433225,0.05,10.0,0.16116116116116116
0.183235,0.383746,0.43302,0.0499999,10.0,0.16216216216216217
0.183841,0.383343,0.432816,0.0499999,10.0,0.16316316316316315
0.184445,0.382942,0.432613,0.0499999,10.0,0.16416416416416416
0.185047,0.382542,0.432411,0.0499998,10.0,0.16516516516516516
0.185647,0.382144,0.432209,0.0499998,10.0,0.16616616616616614
0.186245,0.381746,0.432009,0.0499997,10.0,0.16716716716716715
0.186841,0.38135,0.431809,0.0499996,10.0,0.16816816816816818
0.187435,0.380954,0.43161,0.0499994,10.0,0.1691691691691692
0.188028,0.38056,0.431412,0.0499992,10.0,0.17017017017017017
0.188618,0.380167,0.431215,0.049999,10.0,0.17117117117117117
0.189206,0.379775,0.431019,0.0499986,10.0,0.17217217217217218
0.189793,0.379384,0.430823,0.0499981,10.0,0.17317317317317316
0.190378,0.378993,0.430628,0.0499975,10.0,0.17417417417417416
0.190961,0.378604,0.430434,0.0499967,10.0,0.17517517517517517
0.191543,0.378216,0.430241,0.0499957,10.0,0.17617617617617617
0.192123,0.377829,0.430048,0.0499943,10.0,0.17717717717717718
0.192701,0.377442,0.429856,0.0499926,10.0,0.1781781781781782
0.193278,0.377057,0.429665,0.0499904,10.0,0.17917917917917917
0.193854,0.376672,0.429474,0.0499876,10.0,0.18018018018018017
0.194427,0.376288,0.429285,0.049984,10.0,0.18118118118118118
0.195,0.375905,0.429095,0.0499795,10.0,0.18218218218218216
0.195571,0.375522,0.428907,0.0499739,10.0,0.18318318318318316
0.196141,0.375141,0.428719,0.0499668,10.0,0.1841841841841842
0.196709,0.37476,0.428531,0.0499581,10.0,0.18518518518518517
0.197277,0.374379,0.428344,0.0499473,10.0,0.18618618618618618
0.197843,0.374,0.428158,0.049934,10.0,0.1871871871871872
0.198408,0.37362,0.427972,0.0499177,10.0,0.1881881881881882
0.198972,0.373242,0.427787,0.0498979,10.0,0.18918918918918917
0.199535,0.372863,0.427602,0.0498739,10.0,0.19019019019019018
0.200097,0.372486,0.427418,0.0498448,10.0,0.19119119119119118
0.200658,0.372108,0.427234,0.04981,10.0,0.1921921921921922
0.201219,0.371731,0.42705,0.0497683,10.0,0.1931931931931932
0.201778,0.371354,0.426867,0.0497187,10.0,0.1941941941941942
0.202338,0.370978,0.426685,0.04966,10.0,0.19519519519519518
0.202896,0.370601,0.426503,0.0495908,10.0,0.1961961961961962
0.203455,0.370225,0.426321,0.0495095,10.0,0.1971971971971972
0.204013,0.369848,0.426139,0.0494147,10.0,0.19819819819819817
0.204571,0.369472,0.425957,0.0493044,10.0,0.19919919919919918
0.205128,0.369095,0.425776,0.0491768,10.0,0.2002002002002002
0.205686,0.368719,0.425595,0.0490298,10.0,0.2012012012012012
0.206244,0.368342,0.425414,0.0488612,10.0,0.2022022022022022
0.206803,0.367964,0.425233,0.0486689,10.0,0.2032032032032032
0.207362,0.367586,0.425052,0.0484504,10.0,0.20420420420420418
0.207922,0.367207,0.424871,0.0482033,10.0,0.2052052052052052
0.208483,0.366827,0.42469,0.0479251,10.0,0.2062062062062062
0.209045,0.366447,0.424509,0.0476134,10.0,0.20720720720720723
0.209608,0.366065,0.424327,0.0472657,10.0,0.2082082082082082
0.210173,0.365682,0.424145,0.0468795,10.0,0.2092092092092092
0.21074,0.365297,0.423963,0.0464527,10.0,0.21021021021021022
0.21131,0.36491,0.42378,0.0459829,10.0,0.2112112112112112
0.211882,0.364522,0.423596,0.0454682,10.0,0.2122122122122122
0.212458,0.364131,0.423412,0.0449069,10.0,0.2132132132132132
0.213037,0.363737,0.423226,0.0442973,10.0,0.2142142142142142
0.21362,0.36334,0.42304,0.0436385,10.0,0.21521521521521522
0.214209,0.362939,0.422852,0.0429294,10.0,0.21621621621621623
0.214803,0.362535,0.422662,0.0421697,10.0,0.2172172172172172
0.215403,0.362126,0.422471,0.0413594,10.0,0.2182182182182182
0.216011,0.361711,0.422277,0.0404988,10.0,0.21921921921921922
0.216628,0.361291,0.422081,0.039589,10.0,0.2202202202202202
0.217254,0.360863,0.421883,0.0386312,10.0,0.2212212212212212
0.217892,0.360428,0.421681,0.0376275,10.0,0.2222222222222222
0.218542,0.359983,0.421475,0.0365801,10.0,0.22322322322322322
0.219208,0.359528,0.421264,0.035492,10.0,0.22422422422422422
0.219892,0.35906,0.421048,0.0343664,10.0,0.22522522522522523
0.220597,0.358577,0.420826,0.0332072,10.0,0.2262262262262262
0.221326,0.358078,0.420597,0.0320184,10.0,0.2272272272272272
0.222084,0.357558,0.420359,0.0308047,10.0,0.22822822822822822
0.222876,0.357014,0.42011,0.0295707,10.0,0.22922922922922923
0.22371,0.356441,0.419849,0.0283215,10.0,0.2302302302302302
0.224594,0.355833,0.419573,0.0270623,10.0,0.23123123123123124
0.22554,0.355182,0.419278,0.0257983,10.0,0.23223223223223224
0.226562,0.354478,0.41896,0.024535,10.0,0.23323323323323322
0.22768,0.353708,0.418613,0.0232776,10.0,0.23423423423423423
0.22892,0.352851,0.418229,0.0220312,10.0,0.23523523523523523
0.230319,0.351884,0.417798,0.0208007,10.0,0.2362362362362362
0.23193,0.350768,0.417303,0.0195909,10.0,0.23723723723723722
0.23383,0.349448,0.416721,0.0184059,10.0,0.23823823823823823
0.236141,0.34784,0.416018,0.0172496,10.0,0.23923923923923923
0.239059,0.345804,0.415137,0.0161251,10.0,0.24024024024024024
0.242923,0.343096,0.413981,0.0150347,10.0,0.24124124124124124
0.248385,0.339244,0.412371,0.0139794,10.0,0.24224224224224222
0.25684,0.333222,0.409937,0.0129579,10.0,0.24324324324324323
0.271933,0.322263,0.405804,0.0119631,10.0,0.24424424424424424
0.306491,0.296,0.397509,0.0109685,10.0,0.2452452452452452
0.449651,0.234234,0.316115,0.00984083,1.0,0.24624624624624622
0.458323,0.225913,0.315764,0.0086663,1.0,0.24724724724724725
0.46288,0.221818,0.315302,0.00760407,1.0,0.24824824824824826
0.464474,0.220983,0.314543,0.0066676,1.0,0.24924924924924924
0.464992,0.221503,0.313505,0.00583329,1.0,0.2502502502502503
0.465495,0.222236,0.312269,0.0050864,1.0,0.25125125125125125
0.466209,0.222854,0.310937,0.00441949,1.0,0.25225225225225223
0.467002,0.223352,0.309646,0.00382689,1.0,0.25325325325325326
0.467695,0.223749,0.308556,0.00330286,1.0,0.25425425425425424
0.468152,0.224011,0.307837,0.00284157,1.0,0.2552552552552552
0.46829,0.224091,0.307619,0.00243735,1.0,0.25625625625625625
0.468095,0.223969,0.307936,0.00208479,1.0,0.25725725725725723
0.46764,0.223686,0.308674,0.00177871,1.0,0.25825825825825827
0.467079,0.223337,0.309584,0.00151409,1.0,0.25925925925925924
0.466584,0.223029,0.310387,0.00128616,1.0,0.2602602602602603
0.466273,0.222833,0.310894,0.00109042,1.0,0.26126126126126126
0.466175,0.22277,0.311055,0.000922757,1.0,0.26226226226226224
0.466253,0.222817,0.310931,0.0007795,1.0,0.26326326326326327
0.466442,0.222932,0.310626,0.00065741,1.0,0.26426426426426425
0.466675,0.223075,0.31025,0.000553643,1.0,0.2652652652652653
0.466897,0.223211,0.309892,0.000465703,1.0,0.26626626626626626
0.46707,0.223316,0.309614,0.000391392,1.0,0.26726726726726724
0.467171,0.223376,0.309453,0.000328778,1.0,0.2682682682682683
0.467194,0.223388,0.309418,0.000276166,1.0,0.26926926926926925
0.467149,0.223358,0.309494,0.00023207,1.0,0.27027027027027023
0.467057,0.223299,0.309644,0.000195194,1.0,0.27127127127127126
0.466949,0.223229,0.309822,0.000164415,1.0,0.27227227227227224
0.466849,0.223166,0.309985,0.000138761,1.0,0.2732732732732732
0.466779,0.223121,0.3101,0.000117403,1.0,0.2742742742742743
0.466748,0.2231,0.310152,9.9633e-05,1.0,0.2752752752752753
0.466753,0.223102,0.310145,8.48512e-05,1.0,0.27627627627627627
0.466786,0.223122,0.310092,7.25526e-05,1.0,0.2772772772772773
0.466835,0.223151,0.310014,6.23135e-05,1.0,0.2782782782782783
0.466887,0.223182,0.309931,5.37793e-05,1.0,0.27927927927927926
0.466931,0.223208,0.309861,4.66544e-05,1.0,0.2802802802802803
0.46696,0.223224,0.309815,4.06928e-05,1.0,0.28128128128128127
