TimeStep,CellID,qw,qo
119.5,9999,4.16667e-07,25
120,9999,4.16667e-07,25
120.5,9999,4.16667e-07,25
121,9999,4.16667e-07,25
121.5,9999,4.16667e-07,25
122,9999,4.16667e-07,25
122.5,9999,4.16667e-07,25
123,9999,4.16667e-07,25
123.5,9999,4.16667e-07,25
124,9999,4.16667e-07,25
124.5,9999,4.16667e-07,25
125,9999,4.16667e-07,25
125.5,9999,4.16667e-07,25
126,9999,4.16667e-07,25
126.5,9999,4.16667e-07,25
127,9999,4.16667e-07,25
127.5,9999,4.16667e-07,25
128,9999,4.16667e-07,25
128.5,9999,4.16667e-07,25
129,9999,4.16667e-07,25
129.5,9999,4.16667e-07,25
130,9999,4.16667e-07,25
130.5,9999,4.16667e-07,25
131,9999,4.16667e-07,25
131.5,9999,4.16667e-07,25
132,9999,4.16667e-07,25
132.5,9999,4.16667e-07,25
133,9999,4.16667e-07,25
133.5,9999,4.16667e-07,25
134,9999,4.16667e-07,25
134.5,9999,4.16667e-07,25
135,9999,4.16667e-07,25
135.5,9999,4.16667e-07,25
136,9999,4.16667e-07,25
136.5,9999,4.16667e-07,25
137,9999,4.16667e-07,25
137.5,9999,4.16667e-07,25
138,9999,4.16667e-07,25
138.5,9999,4.16667e-07,25
139,9999,4.16667e-07,25
139.5,9999,4.16667e-07,25
140,9999,4.16667e-07,25
140.5,9999,4.16667e-07,25
141,9999,4.16667e-07,25
141.5,9999,4.16667e-07,25
142,9999,4.16667e-07,25
142.5,9999,4.16667e-07,25
143,9999,4.16667e-07,25
143.5,9999,4.16667e-07,25
144,9999,4.16667e-07,25
144.5,9999,4.16667e-07,25
145,9999,4.16667e-07,25
145.5,9999,4.16667e-07,25
146,9999,4.16667e-07,25
146.5,9999,4.16667e-07,25
147,9999,4.16667e-07,25
147.5,9999,4.16667e-07,25
148,9999,4.16667e-07,25
148.5,9999,4.16667e-07,25
149,9999,4.16667e-07,25
149.5,9999,4.16667e-07,25
150,9999,4.16667e-07,25
150.5,9999,4.16667e-07,25
151,9999,4.16667e-07,25
151.5,9999,4.16667e-07,25
152,9999,4.16667e-07,25
152.5,9999,4.16667e-07,25
153,9999,4.16667e-07,25
153.5,9999,4.16667e-07,25
154,9999,4.16667e-07,25
154.5,9999,4.16667e-07,25
155,9999,4.16667e-07,25
155.5,9999,4.16667e-07,25
156,9999,4.16667e-07,25
156.5,9999,4.16667e-07,25
157,9999,4.16667e-07,25
157.5,9999,4.16667e-07,25
158,9999,4.16667e-07,25
158.5,9999,4.16667e-07,25
159,9999,4.16667e-07,25
159.5,9999,4.16667e-07,25
160,9999,4.16667e-07,25
160.5,9999,4.16667e-07,25
161,9999,4.16667e-07,25
161.5,9999,4.16667e-07,25
162,9999,4.16667e-07,25
162.5,9999,4.16667e-07,25
163,9999,4.16667e-07,25
163.5,9999,4.16667e-07,25
164,9999,4.16667e-07,25
164.5,9999,4.16667e-07,25
165,9999,4.16667e-07,25
165.5,9999,4.16667e-07,25
166,9999,4.16667e-07,25
166.5,9999,4.16667e-07,25
167,9999,4.16667e-07,25
167.5,9999,4.16667e-07,25
168,9999,4.16667e-07,25
168.5,9999,4.16667e-07,25
169,9999,4.16667e-07,25
169.5,9999,4.16667e-07,25
170,9999,4.16667e-07,25
170.5,9999,4.16667e-07,25
171,9999,4.16667e-07,25
171.5,9999,4.16667e-07,25
172,9999,4.16667e-07,25
172.5,9999,4.16667e-07,25
173,9999,4.16667e-07,25
173.5,9999,4.16667e-07,25
174,9999,4.16667e-07,25
174.5,9999,4.16667e-07,25
175,9999,4.16667e-07,25
175.5,9999,4.16667e-07,25
176,9999,4.16667e-07,25
176.5,9999,4.16667e-07,25
177,9999,4.16667e-07,25
177.5,9999,4.16667e-07,25
178,9999,4.16667e-07,25
178.5,9999,4.16667e-07,25
179,9999,4.16667e-07,25
179.5,9999,4.16667e-07,25
180,9999,4.16667e-07,25
180.5,9999,4.16667e-07,25
181,9999,4.16667e-07,25
181.5,9999,4.16667e-07,25
182,9999,4.16667e-07,25
182.5,9999,4.16667e-07,25
183,9999,4.16667e-07,25
183.5,9999,4.16667e-07,25
184,9999,4.16667e-07,25
184.5,9999,4.16667e-07,25
185,9999,4.16667e-07,25
185.5,9999,4.16667e-07,25
186,9999,4.16667e-07,25
186.5,9999,4.16667e-07,25
187,9999,4.16667e-07,25
187.5,9999,4.16667e-07,25
188,9999,4.16667e-07,25
188.5,9999,4.16667e-07,25
189,9999,4.16667e-07,25
189.5,9999,4.16667e-07,25
190,9999,4.16667e-07,25
190.5,9999,4.16667e-07,25
191,9999,4.16667e-07,25
191.5,9999,4.16667e-07,25
192,9999,4.16667e-07,25
192.5,9999,4.16667e-07,25
193,9999,4.16667e-07,25
193.5,9999,4.16667e-07,25
194,9999,4.16667e-07,25
194.5,9999,4.16667e-07,25
195,9999,4.16667e-07,25
195.5,9999,4.16667e-07,25
196,9999,4.16667e-07,25
196.5,9999,4.16667e-07,25
197,9999,4.16667e-07,25
197.5,9999,4.16667e-07,25
198,9999,4.16667e-07,25
198.5,9999,4.16667e-07,25
199,9999,4.16667e-07,25
199.5,9999,4.16667e-07,25
200,9999,4.16667e-07,25
200.5,9999,4.16667e-07,25
201,9999,4.16667e-07,25
201.5,9999,4.16667e-07,25
202,9999,4.16667e-07,25
202.5,9999,4.16667e-07,25
203,9999,4.16667e-07,25
203.5,9999,4.16667e-07,25
204,9999,4.16667e-07,25
204.5,9999,4.16667e-07,25
205,9999,4.16667e-07,25
205.5,9999,4.16667e-07,25
206,9999,4.16667e-07,25
206.5,9999,4.16667e-07,25
207,9999,4.16667e-07,25
207.5,9999,4.16667e-07,25
208,9999,4.16667e-07,25
208.5,9999,4.16667e-07,25
209,9999,4.16667e-07,25
209.5,9999,4.16667e-07,25
210,9999,4.16667e-07,25
210.5,9999,4.16667e-07,25
211,9999,4.16667e-07,25
211.5,9999,4.16667e-07,25
