Time,"Fa","Fb","Fc","Foil","Fshear","K","Nca","Sa","Sb","U:0","U:1","U:2","Ua:0","Ua:1","Ua:2","Ub:0","Ub:1","Ub:2","Uc:0","Uc:1","Uc:2","eps","kra","krb","krc","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
10000,0,1,2.2205e-16,1,1,9.8692e-14,3.6903,1e-08,0.8,0.085598,0.085598,0,0,0,0,0.085598,0.085598,0,1.4433e-17,2.1511e-17,0,1,0,1,2.2205e-16,1.9794e+13,1,6.5054,4.6,4.6,10
10000,0,1,2.2205e-16,1,1,9.8692e-14,3.6108,1e-08,0.8,0.083792,0.083792,0,0,0,0,0.083792,0.083792,0,1.419e-17,2.047e-17,0,1,0,1,2.2205e-16,1.962e+13,1,6.6468,4.7,4.7,10
10000,0,1,2.2205e-16,1,1,9.8692e-14,3.5339,1e-08,0.8,0.082067,0.082067,0,0,0,0,0.082067,0.082067,0,1.4017e-17,1.9429e-17,0,1,0,1,2.2205e-16,1.9451e+13,1,6.7882,4.8,4.8,10
10000,0,1,2.2205e-16,1,1,9.8692e-14,3.4596,1e-08,0.8,0.080422,0.080422,0,0,0,0,0.080422,0.080422,0,1.3912e-17,1.8388e-17,0,1,0,1,2.2205e-16,1.9285e+13,1,6.9296,4.9,4.9,10
10000,0,1,2.2205e-16,1,1,9.8692e-14,3.3879,1e-08,0.8,0.078859,0.078859,0,0,0,0,0.078859,0.078859,0,1.3878e-17,1.7347e-17,0,1,0,1,2.2205e-16,1.9123e+13,1,7.0711,5,5,10
10000,0,1,2.2205e-16,1,1,9.8692e-14,3.3254,1e-08,0.8,0.077358,0.077358,0,0,0,0,0.077358,0.077358,0,1.3843e-17,1.6324e-17,0,1,0,1,2.2205e-16,1.8965e+13,1,7.2125,5.1,5.1,10
10000,0,1,2.2205e-16,1,1,9.8692e-14,3.2644,1e-08,0.8,0.075903,0.075903,0,0,0,0,0.075903,0.075903,0,1.3739e-17,1.5335e-17,0,1,0,1,2.2205e-16,1.8809e+13,1,7.3539,5.2,5.2,10
10000,0,1,2.2205e-16,1,1,9.8692e-14,3.2048,1e-08,0.8,0.074493,0.074493,0,0,0,0,0.074493,0.074493,0,1.3566e-17,1.4381e-17,0,1,0,1,2.2205e-16,1.8656e+13,1,7.4953,5.3,5.3,10
10000,0,1,2.2205e-16,1,1,9.8692e-14,3.1467,1e-08,0.8,0.073128,0.073128,0,0,0,0,0.073128,0.073128,0,1.3323e-17,1.3461e-17,0,1,0,1,2.2205e-16,1.8505e+13,1,7.6368,5.4,5.4,10
10000,0,1,2.2205e-16,1,1,9.8692e-14,3.0901,1e-08,0.8,0.071809,0.071809,0,0,0,0,0.071809,0.071809,0,1.301e-17,1.2577e-17,0,1,0,1,2.2205e-16,1.8357e+13,1,7.7782,5.5,5.5,10
10000,0,1,2.2205e-16,1,1,9.8692e-14,3.0349,1e-08,0.8,0.070534,0.070534,0,0,0,0,0.070534,0.070534,0,1.2629e-17,1.1727e-17,0,1,0,1,2.2205e-16,1.8212e+13,1,7.9196,5.6,5.6,10
10000,0,1,2.2205e-16,1,1,9.8692e-14,2.9811,1e-08,0.8,0.069305,0.069305,0,0,0,0,0.069305,0.069305,0,1.2178e-17,1.0911e-17,0,1,0,1,2.2205e-16,1.8069e+13,1,8.061,5.7,5.7,10
