"Fa","Fb","K","Sa","Sb","Sc","U:0","U:1","U:2","Ua:0","Ua:1","Ua:2","Ub:0","Ub:1","Ub:2","Uc:0","Uc:1","Uc:2","eps","kra","krb","krc","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.14655,0.83648,1e-12,0.032476,0.68211,0.28541,1.4111e-05,0,0,2.0679e-06,0,0,1.1804e-05,0,0,2.395e-07,0,0,0.25,0.00092759,0.52946,0.053714,1.743e+05,1,0.18717,0.18717,0.005,0.005
0.14647,0.8365,1e-12,0.031906,0.68229,0.28581,1.4111e-05,0,0,2.0668e-06,0,0,1.1804e-05,0,0,2.4039e-07,0,0,0.25,0.00092761,0.52978,0.053945,1.7422e+05,1,0.19084,0.19084,0.005,0.005
0.14639,0.83651,1e-12,0.03137,0.68243,0.2862,1.4111e-05,0,0,2.0657e-06,0,0,1.1804e-05,0,0,2.4128e-07,0,0,0.25,0.00092756,0.53004,0.054171,1.7414e+05,1,0.19451,0.19451,0.005,0.005
0.14631,0.83653,1e-12,0.030865,0.68256,0.28658,1.4111e-05,0,0,2.0646e-06,0,0,1.1804e-05,0,0,2.4216e-07,0,0,0.25,0.00092745,0.53027,0.054392,1.7406e+05,1,0.19818,0.19818,0.005,0.005
0.14623,0.83654,1e-12,0.030389,0.68266,0.28695,1.4111e-05,0,0,2.0636e-06,0,0,1.1804e-05,0,0,2.4304e-07,0,0,0.25,0.00092729,0.53046,0.054609,1.7398e+05,1,0.20185,0.20185,0.005,0.005
0.14617,0.83654,1e-12,0.029941,0.68275,0.28731,1.4111e-05,0,0,2.0627e-06,0,0,1.1804e-05,0,0,2.4392e-07,0,0,0.25,0.00092716,0.53061,0.054822,1.739e+05,1,0.20552,0.20552,0.005,0.005
0.14612,0.83653,1e-12,0.029517,0.68281,0.28767,1.4111e-05,0,0,2.0619e-06,0,0,1.1804e-05,0,0,2.4481e-07,0,0,0.25,0.00092703,0.53073,0.055033,1.7382e+05,1,0.20919,0.20919,0.005,0.005
0.14607,0.83652,1e-12,0.029117,0.68285,0.28803,1.4111e-05,0,0,2.0613e-06,0,0,1.1804e-05,0,0,2.4569e-07,0,0,0.25,0.00092691,0.53081,0.055242,1.7373e+05,1,0.21286,0.21286,0.005,0.005
0.14603,0.83649,1e-12,0.028737,0.68288,0.28838,1.4111e-05,0,0,2.0607e-06,0,0,1.1804e-05,0,0,2.4659e-07,0,0,0.25,0.00092676,0.53086,0.055449,1.7365e+05,1,0.21653,0.21653,0.005,0.005
0.146,0.83647,1e-12,0.028376,0.68289,0.28873,1.4111e-05,0,0,2.0601e-06,0,0,1.1803e-05,0,0,2.4749e-07,0,0,0.25,0.0009266,0.53088,0.055656,1.7357e+05,1,0.2202,0.2202,0.005,0.005
0.14596,0.83644,1e-12,0.028032,0.68288,0.28908,1.4111e-05,0,0,2.0596e-06,0,0,1.1803e-05,0,0,2.4841e-07,0,0,0.25,0.00092638,0.53087,0.055864,1.7349e+05,1,0.22387,0.22387,0.005,0.005
0.14591,0.83642,1e-12,0.027698,0.68286,0.28944,1.4111e-05,0,0,2.0589e-06,0,0,1.1803e-05,0,0,2.4937e-07,0,0,0.25,0.00092601,0.53082,0.056075,1.7341e+05,1,0.22754,0.22754,0.005,0.005
0.14586,0.8364,1e-12,0.027379,0.68282,0.2898,1.4111e-05,0,0,2.0582e-06,0,0,1.1803e-05,0,0,2.5034e-07,0,0,0.25,0.00092556,0.53075,0.056288,1.7333e+05,1,0.23121,0.23121,0.005,0.005
0.1458,0.83639,1e-12,0.027076,0.68276,0.29016,1.4111e-05,0,0,2.0574e-06,0,0,1.1802e-05,0,0,2.5134e-07,0,0,0.25,0.00092502,0.53065,0.056502,1.7324e+05,1,0.23488,0.23488,0.005,0.005
0.14574,0.83637,1e-12,0.02679,0.68269,0.29052,1.4111e-05,0,0,2.0566e-06,0,0,1.1802e-05,0,0,2.5236e-07,0,0,0.25,0.00092445,0.53051,0.056717,1.7316e+05,1,0.23855,0.23855,0.005,0.005
0.1457,0.83634,1e-12,0.02652,0.68259,0.29089,1.4111e-05,0,0,2.0561e-06,0,0,1.1802e-05,0,0,2.534e-07,0,0,0.25,0.00092391,0.53034,0.056934,1.7308e+05,1,0.24222,0.24222,0.005,0.005
0.14568,0.83629,1e-12,0.026267,0.68248,0.29125,1.4111e-05,0,0,2.0557e-06,0,0,1.1801e-05,0,0,2.5446e-07,0,0,0.25,0.00092345,0.53013,0.057154,1.73e+05,1,0.24589,0.24589,0.005,0.005
0.14568,0.83621,1e-12,0.026031,0.68234,0.29163,1.4111e-05,0,0,2.0558e-06,0,0,1.18e-05,0,0,2.5555e-07,0,0,0.25,0.00092313,0.52988,0.057376,1.7292e+05,1,0.24956,0.24956,0.005,0.005
0.14572,0.8361,1e-12,0.025813,0.68218,0.292,1.4111e-05,0,0,2.0563e-06,0,0,1.1798e-05,0,0,2.5666e-07,0,0,0.25,0.00092298,0.52959,0.057603,1.7284e+05,1,0.25323,0.25323,0.005,0.005
0.14578,0.83595,1e-12,0.025611,0.682,0.29239,1.4111e-05,0,0,2.0572e-06,0,0,1.1796e-05,0,0,2.5781e-07,0,0,0.25,0.00092296,0.52926,0.057834,1.7275e+05,1,0.2569,0.2569,0.005,0.005
0.14589,0.83575,1e-12,0.025427,0.68179,0.29278,1.4111e-05,0,0,2.0588e-06,0,0,1.1793e-05,0,0,2.59e-07,0,0,0.25,0.00092322,0.52887,0.058071,1.7267e+05,1,0.26057,0.26057,0.005,0.005
0.14608,0.83548,1e-12,0.025262,0.68155,0.29319,1.4111e-05,0,0,2.0614e-06,0,0,1.1789e-05,0,0,2.6022e-07,0,0,0.25,0.00092394,0.52844,0.058316,1.7259e+05,1,0.26424,0.26424,0.005,0.005
0.14632,0.83515,1e-12,0.025114,0.68128,0.29361,1.4111e-05,0,0,2.0647e-06,0,0,1.1785e-05,0,0,2.615e-07,0,0,0.25,0.00092495,0.52794,0.05857,1.7251e+05,1,0.26791,0.26791,0.005,0.005
0.14657,0.8348,1e-12,0.024978,0.68097,0.29405,1.4111e-05,0,0,2.0682e-06,0,0,1.178e-05,0,0,2.6287e-07,0,0,0.25,0.00092596,0.52738,0.058838,1.7243e+05,1,0.27158,0.27158,0.005,0.005
0.14679,0.83448,1e-12,0.024851,0.68063,0.29452,1.4111e-05,0,0,2.0712e-06,0,0,1.1775e-05,0,0,2.6436e-07,0,0,0.25,0.00092663,0.52676,0.059122,1.7234e+05,1,0.27525,0.27525,0.005,0.005
0.14697,0.83419,1e-12,0.02473,0.68024,0.29503,1.4111e-05,0,0,2.0738e-06,0,0,1.1771e-05,0,0,2.6601e-07,0,0,0.25,0.00092682,0.52607,0.05943,1.7226e+05,1,0.27892,0.27892,0.005,0.005
0.14713,0.83389,1e-12,0.024619,0.6798,0.29558,1.4111e-05,0,0,2.0762e-06,0,0,1.1767e-05,0,0,2.6785e-07,0,0,0.25,0.00092675,0.52527,0.059768,1.7218e+05,1,0.28259,0.28259,0.005,0.005
0.14728,0.8336,1e-12,0.02452,0.67928,0.2962,1.4111e-05,0,0,2.0783e-06,0,0,1.1763e-05,0,0,2.6994e-07,0,0,0.25,0.00092639,0.52433,0.060145,1.721e+05,1,0.28626,0.28626,0.005,0.005
