Time,"Velocity:0","Velocity:1","Velocity:2","Water_Saturation","Gas_Saturation","Water_Saturation_mean","Gas_Saturation_mean","Oil_Saturation","Oil_Saturation_mean","Gas_Viscosity","Apparent_viscosity","Gas_Mobility","Water_Mobility","Total_Mobility","Gas_Density","Oil_Pressure","Water_Pressure","Permeability","Porosity","Gas_pressure","Points:0","Points:1","Points:2"
80,1.4111e-05,-1.8444e-18,0,0.36162,0.52632,0.36117,0.52719,0.11205,0.11164,0.016715,0.0075251,25.894,106.95,132.89,1.165,2.5432e+05,2.5432e+05,-12,0.25,2.5432e+05,0.06239,0,0
80,1.4111e-05,3.6925e-18,0,0.36072,0.52806,0.36117,0.52719,0.11122,0.11164,0.016715,0.0075577,26.066,106.21,132.31,1.165,2.5432e+05,2.5432e+05,-12,0.25,2.5432e+05,0.05872,0.01,0
80,1.4111e-05,3.6925e-18,0,0.36162,0.52632,0.36117,0.52719,0.11205,0.11164,0.016715,0.0075251,25.894,106.95,132.89,1.165,2.5432e+05,2.5432e+05,-12,0.25,2.5432e+05,0.06239,0.01,0
80,1.4111e-05,-5.5738e-18,0,0.36164,0.52629,0.36211,0.52539,0.11207,0.1125,0.016488,0.0075043,26.249,106.96,133.26,1.165,2.5399e+05,2.5399e+05,-12,0.25,2.5399e+05,0.06239,0,0
80,1.4111e-05,-5.5738e-18,0,0.36258,0.52449,0.36211,0.52539,0.11293,0.1125,0.016488,0.0074707,26.07,107.73,133.86,1.165,2.5399e+05,2.5399e+05,-12,0.25,2.5399e+05,0.06606,0,0
80,1.4111e-05,-2.7857e-18,0,0.36164,0.52629,0.36211,0.52539,0.11207,0.1125,0.016488,0.0075043,26.249,106.96,133.26,1.165,2.5399e+05,2.5399e+05,-12,0.25,2.5399e+05,0.06239,0.01,0
80,1.4111e-05,-2.7857e-18,0,0.36258,0.52449,0.36211,0.52539,0.11293,0.1125,0.016488,0.0074707,26.07,107.73,133.86,1.165,2.5399e+05,2.5399e+05,-12,0.25,2.5399e+05,0.06606,0.01,0
80,1.4111e-05,-1.2171e-17,0,0.3626,0.52446,0.36309,0.52353,0.11294,0.11338,0.016255,0.0074493,26.439,107.75,134.24,1.165,2.5367e+05,2.5367e+05,-12,0.25,2.5367e+05,0.06606,0,0
80,1.4111e-05,-1.2171e-17,0,0.36358,0.52259,0.36309,0.52353,0.11383,0.11338,0.016255,0.0074148,26.252,108.55,134.87,1.165,2.5367e+05,2.5367e+05,-12,0.25,2.5367e+05,0.06973,0,0
80,1.4111e-05,1.0298e-17,0,0.3626,0.52446,0.36309,0.52353,0.11294,0.11338,0.016255,0.0074493,26.439,107.75,134.24,1.165,2.5367e+05,2.5367e+05,-12,0.25,2.5367e+05,0.06606,0.01,0
80,1.4111e-05,1.0298e-17,0,0.36358,0.52259,0.36309,0.52353,0.11383,0.11338,0.016255,0.0074148,26.252,108.55,134.87,1.165,2.5367e+05,2.5367e+05,-12,0.25,2.5367e+05,0.06973,0.01,0
80,1.4111e-05,-5.659e-18,0,0.3636,0.52256,0.36411,0.52159,0.11384,0.1143,0.016017,0.0073927,26.638,108.57,135.27,1.165,2.5335e+05,2.5335e+05,-12,0.25,2.5335e+05,0.06973,0,0
80,1.4111e-05,-5.659e-18,0,0.36462,0.52062,0.36411,0.52159,0.11476,0.1143,0.016017,0.0073571,26.441,109.41,135.92,1.165,2.5335e+05,2.5335e+05,-12,0.25,2.5335e+05,0.0734,0,0
